"size","solution_terms","elpd","elpd.se","elpd.diff","elpd.diff.se","auc","auc.se","auc.diff","auc.diff.se","rho","n","loo_wts"
0,NA,-69.0225921817475,0.564557624139706,-0.625829738710392,4.60944607935131,0.5,0,-0.149355877616747,0.0564213738765508,0.5,100,0.00229319293494327
1,"X.1",-62.9513986228503,2.50495010565802,5.4453638201868,4.52506728853744,0.738325281803543,0.0508597275234485,0.0889694041867956,0.0655288654572933,0.5,100,0.993405262449938
2,"X.30",-70.1085505135942,3.70313065686627,-1.71178807055705,4.3017790699241,0.577697262479871,0.0586053815867635,-0.071658615136876,0.0568392682980097,0.5,100,0.00077413175740698
3,"X.66",-73.6235965026675,4.44146211096387,-5.22683405963034,4.11936849917116,0.562399355877617,0.0601815937855248,-0.0869565217391304,0.0543835597070535,0.5,100,2.30276599347597e-05
4,"X.28",-75.8545781618989,4.59083423002241,-7.45781571886174,3.76943994415326,0.545088566827697,0.0606605666776159,-0.10426731078905,0.0497538088468448,0.5,100,2.47369860113224e-06
5,"X.82",-77.5960345875881,4.76394610469951,-9.19927214455095,3.76243957201003,0.526570048309179,0.0610421059258756,-0.122785829307568,0.0472573242989718,0.5,100,4.3355267218301e-07
6,"X.47",-79.8945893082481,5.27189698926371,-11.4978268652109,4.02734737373744,0.518518518518518,0.0605609232996062,-0.130837359098229,0.0473445984267385,0.5,100,4.35303576907184e-08
7,"X.10",-76.8755113760251,5.1680190853844,-8.47874893298795,4.14263126487378,0.551127214170692,0.0597512234138225,-0.0982286634460547,0.0472377526531883,0.5,100,8.91171157392397e-07
8,"X.96",-76.4699201301646,5.28495318660219,-8.07315768712741,4.01757166801776,0.557971014492754,0.0597738799761034,-0.0913848631239935,0.0452130893965892,0.5,100,1.33692536221361e-06
9,"X.13",-76.4532563409325,5.33795882759392,-8.05649389789532,3.78813554271668,0.555152979066023,0.0603378856124957,-0.0942028985507246,0.0448732045014706,0.5,100,1.35939025999059e-06
10,"X.11",-75.970196820395,5.34209088101493,-7.5734343773579,3.97291507253861,0.563204508856683,0.0600912201294427,-0.0861513687600645,0.0459131466759357,0.5,100,2.20360748099911e-06
11,"X.43",-75.984284675331,5.36236365374132,-7.58752223229386,4.01782067730973,0.559178743961353,0.0598489425142832,-0.0901771336553946,0.0472125342347783,0.5,100,2.17278102760894e-06
12,"X.38",-73.9126476523321,5.4178453639003,-5.51588520929498,4.18398433062992,0.586151368760064,0.0594175187703772,-0.0632045088566827,0.0478941458042429,0.5,100,1.72471161462282e-05
13,"X.64",-74.1083752566958,5.2946381203907,-5.71161281365868,3.69393109394581,0.574074074074074,0.0594081845802141,-0.0752818035426731,0.044762448329451,0.5,100,1.41812028568204e-05
14,"X.2",-72.8687924151578,5.45872397234677,-4.47202997212066,3.68522643899396,0.598228663446055,0.0590616510242316,-0.0511272141706924,0.0418763833926033,0.5,100,4.89843170534492e-05
15,"X.69",-73.836715054951,5.7172539938168,-5.43995261191384,3.90421230335147,0.601449275362319,0.059125886574942,-0.0479066022544283,0.0432278895590382,0.5,100,1.86077385813429e-05
16,"X.22",-74.5222781442465,5.61801796771128,-6.12551570120936,3.80489520110368,0.593800322061192,0.0590732864898578,-0.0555555555555556,0.043128634478356,0.5,100,9.37469893422414e-06
17,"X.9",-73.0854324770158,5.76242574622956,-4.68867003397869,3.87839568321116,0.615136876006441,0.0584929831071742,-0.0342190016103059,0.0425595170905295,0.5,100,3.94431393578227e-05
18,"X.73",-73.0200669043694,5.92808901807037,-4.62330446133223,3.99415456204035,0.623993558776167,0.0581917885369807,-0.0253623188405797,0.0419074532707971,0.5,100,4.21074926499169e-05
19,"X.95",-72.869653612805,6.04831417091408,-4.4728911697679,4.01716838865469,0.628824476650564,0.0582882670421532,-0.0205314009661836,0.0422770629977258,0.5,100,4.89421500345261e-05
20,"X.23",-72.3541194860643,6.08697855443976,-3.95735704302713,3.92344075606148,0.634863123993559,0.058366115492871,-0.0144927536231884,0.0410567442623777,0.5,100,8.19552294496494e-05
21,"X.53",-72.1213879146764,5.74503856524731,-3.72462547163928,3.421131928878,0.615136876006441,0.0586471095548717,-0.0342190016103059,0.038521230689963,0.5,100,0.000103430996225847
22,"X.61",-71.7515815588469,5.90183855345342,-3.35481911580978,3.38906018933883,0.623188405797101,0.0589633865977795,-0.0261674718196457,0.0379552257764412,0.5,100,0.000149711639871822
23,"X.29",-71.098007632322,5.90165655844754,-2.70124518928487,3.32334988329896,0.632447665056361,0.0588332884748478,-0.0169082125603864,0.0373859701400536,0.5,100,0.000287805518655118
24,"X.62",-69.9348982749501,5.82680034277124,-1.53813583191296,3.32480144832377,0.647745571658615,0.0578433409230869,-0.00161030595813205,0.037480768455341,0.5,100,0.000920939483722183
25,"X.86",-69.3156114042635,5.72631055595719,-0.918848961226396,3.26000569654007,0.655797101449275,0.0574142915378707,0.00644122383252821,0.0373549520764761,0.5,100,0.00171073981731856
