"size","solution_terms","elpd","elpd.se","elpd.diff","elpd.diff.se","auc","auc.se","auc.diff","auc.diff.se","rho","n","loo_wts"
0,NA,-346.448756878424,1.00442916035657,-41.1132482718673,8.19803875230394,0.5,0,-0.222870730652832,0.0222099504566554,0,500,2.91314704784288e-20
1,"X.3",-348.593854460073,4.98907626724759,-43.2583458535166,7.2796088774811,0.551056027925894,0.0252832847432718,-0.171814702726938,0.0245814443311788,0,500,3.41003129240497e-21
2,"X.2",-335.972101289008,5.94377353713251,-30.6365926824514,6.74091527298125,0.622584105939056,0.0249509316432713,-0.100286624713776,0.0219242530515431,0,500,1.03351341581925e-15
3,"X.4",-325.959227778261,6.35816971753632,-20.6237191717047,6.27293781199392,0.659893356391411,0.0241509698436802,-0.0629773742614209,0.0197237171264786,0,500,2.30596033238225e-11
4,"X.5",-314.663242116235,6.73673996429738,-9.32773350967808,5.22692742690152,0.701574034042689,0.0231806540591109,-0.0212966966101423,0.0154908178013199,0,500,1.85624831688434e-06
5,"X.1",-308.910896251268,6.93312644091375,-3.57538764471088,5.01019755094568,0.718835567084594,0.0226742817011349,-0.00403516356823752,0.0147463063529031,0,500,0.000584585636045597
6,"X.10",-307.718334098046,7.01047847275098,-2.38282549148895,4.56848085455354,0.72199004019151,0.0225847942097636,-0.000880690461321665,0.0134517397399306,0,500,0.00192651015453588
7,"X.8",-305.911780922427,7.16690163886285,-0.576272315870186,4.31581197647189,0.723847496437207,0.0224806055537948,0.000976765784375,0.0126750698304761,0,500,0.0117313334131512
8,"X.6",-303.073624673786,7.44546814636756,2.26188393277059,4.16628453403061,0.732366175081264,0.0222023243353665,0.00949544442843187,0.0120377160327706,0,500,0.200420884991708
9,"X.53",-305.46237484031,7.49699012011901,-0.126866233753768,4.07512349160039,0.726857856559543,0.0222677367484823,0.00398712590671091,0.0116175133457623,0,500,0.0183874692534436
10,"X.50",-304.344626277748,7.63810833273689,0.990882328808773,3.92745731965003,0.729708091143456,0.0220933198540127,0.00683736049062467,0.0111970110423652,0,500,0.0562281755932741
11,"X.91",-306.747188285576,8.02017286091665,-1.41167967901946,3.74152523050625,0.721765864437719,0.0222940819741626,-0.00110486621511263,0.0106481320550473,0,500,0.00508785317504751
12,"X.7",-302.417303085812,8.02714649458336,2.91820552074448,3.68302581224222,0.734816095819122,0.0220010691152217,0.0119453651662904,0.010277664081679,0,500,0.386349024042621
13,"X.11",-303.887501638646,8.06002997780013,1.4480069679106,3.5690501079192,0.729179676866663,0.0221487147202159,0.0063089462138316,0.00996004816621124,0,500,0.0888138508118692
14,"X.47",-304.512797572485,8.0816809774961,0.822711034072095,3.41430738122854,0.727210132744071,0.0220993571410046,0.00433940209123951,0.00943498120979679,0,500,0.0475245624504158
15,"X.71",-306.335485497984,8.2825535071716,-0.999976891427164,3.19049365500997,0.721477638468559,0.0222843367954191,-0.00139309218427242,0.00875457721963644,0,500,0.00767953313891665
16,"X.26",-306.284670511564,8.30715211188012,-0.949161905007669,3.10040073545022,0.720308722038078,0.0222311375670921,-0.00256200861475397,0.00848137426568784,0,500,0.00807985351088558
17,"X.98",-305.958694392219,8.24088306723868,-0.623185785662195,2.98471460117525,0.720564922899553,0.0222938711838831,-0.0023058077532786,0.00808597393115492,0,500,0.011193685916484
18,"X.79",-305.369379765615,8.21588189643594,-0.0338711590583145,2.82913475513912,0.722406366591408,0.0222069159383623,-0.000464364061424138,0.00766603037416329,0,500,0.0201794445239183
19,"X.88",-305.528046618765,8.23621143072971,-0.192538012208106,2.75068317082012,0.722246241052986,0.0221856520572364,-0.00062448959984629,0.00748431225317967,0,500,0.0172187281145372
20,"X.89",-305.024643935719,8.26715242370097,0.310864670838063,2.68085630965914,0.723895534098733,0.0221128076536289,0.00102480344590161,0.00726687779587077,0,500,0.0284856462021211
21,"X.84",-306.071621346003,8.34968833675502,-0.736112739446243,2.58379543636314,0.720308722038078,0.0222016661646652,-0.00256200861475397,0.0070749713153216,0,500,0.00999837828246393
22,"X.43",-306.083922934291,8.36335159276043,-0.748414327734658,2.54977727892467,0.720196634161182,0.0221783515436029,-0.0026740964916494,0.00693963094499655,0,500,0.0098761357793206
23,"X.68",-305.509539849858,8.36786014787035,-0.174031243301012,2.49177859928622,0.721669789114666,0.0222006843734736,-0.00120094153816586,0.00676214556351265,0,500,0.0175403581229295
24,"X.76",-304.771952853069,8.39473416819771,0.563555753487282,2.40507917160705,0.723623320683416,0.0221250840231322,0.000752590030584033,0.00652591557791029,0,500,0.036674856124026
25,"X.46",-305.60037645858,8.40487369499213,-0.264867852022999,2.28245603629227,0.721013274407135,0.0222208667094404,-0.00185745624569666,0.00618423263342279,0,500,0.0160172744909072
