"size","n","rho","elpd","data"
0,100,0,-219.371214487227,"train"
0,100,0,-202.867878225269,"test"
1,100,0,-205.936566845456,"train"
1,100,0,-203.561200256279,"test"
2,100,0,-192.487532786218,"train"
2,100,0,-195.283849605201,"test"
3,100,0,-183.662914464396,"train"
3,100,0,-186.785341423591,"test"
4,100,0,-175.650533002867,"train"
4,100,0,-177.496470345269,"test"
5,100,0,-169.134296032741,"train"
5,100,0,-175.098381211084,"test"
6,100,0,-161.928945226024,"train"
6,100,0,-173.09087889921,"test"
7,100,0,-151.256606670985,"train"
7,100,0,-169.538538834552,"test"
8,100,0,-141.988003872993,"train"
8,100,0,-167.968210735729,"test"
9,100,0,-139.363497827134,"train"
9,100,0,-166.69892438018,"test"
10,100,0,-135.510061551082,"train"
10,100,0,-168.647479847812,"test"
11,100,0,-134.533654054295,"train"
11,100,0,-170.193508330755,"test"
12,100,0,-133.606248334407,"train"
12,100,0,-165.171952191405,"test"
13,100,0,-131.216051449637,"train"
13,100,0,-163.623310501109,"test"
14,100,0,-130.805834527167,"train"
14,100,0,-163.395468336497,"test"
15,100,0,-128.834360549259,"train"
15,100,0,-160.523003600771,"test"
16,100,0,-126.994984811781,"train"
16,100,0,-154.824438440066,"test"
17,100,0,-125.481382230201,"train"
17,100,0,-157.790568528944,"test"
18,100,0,-125.094804729949,"train"
18,100,0,-159.67606371375,"test"
19,100,0,-124.888697158368,"train"
19,100,0,-158.772261074148,"test"
20,100,0,-124.37494291919,"train"
20,100,0,-158.543303698715,"test"
21,100,0,-123.23001963022,"train"
21,100,0,-158.638454253138,"test"
22,100,0,-121.963480694618,"train"
22,100,0,-161.003051447711,"test"
23,100,0,-121.079405036121,"train"
23,100,0,-162.894558566328,"test"
24,100,0,-121.291706282925,"train"
24,100,0,-162.632898309957,"test"
25,100,0,-119.383325220647,"train"
25,100,0,-165.481882861247,"test"
26,100,0,-118.94581097606,"train"
26,100,0,-167.389132512603,"test"
27,100,0,-118.833738273808,"train"
27,100,0,-167.681250436482,"test"
28,100,0,-117.976896981144,"train"
28,100,0,-166.27224273824,"test"
29,100,0,-117.92086641272,"train"
29,100,0,-165.73313999561,"test"
30,100,0,-117.87729294879,"train"
30,100,0,-165.459678424233,"test"
31,100,0,-118.139740139749,"train"
31,100,0,-164.722765945753,"test"
32,100,0,-117.890416225902,"train"
32,100,0,-166.134183675937,"test"
33,100,0,-118.525989717602,"train"
33,100,0,-165.667081342866,"test"
34,100,0,-118.587530399564,"train"
34,100,0,-166.707353601873,"test"
35,100,0,-118.494984858622,"train"
35,100,0,-167.095264535937,"test"
36,100,0,-118.49025764204,"train"
36,100,0,-169.092386337574,"test"
37,100,0,-118.692890390334,"train"
37,100,0,-169.944362093809,"test"
38,100,0,-118.417566060517,"train"
38,100,0,-170.62174760299,"test"
39,100,0,-117.839570429387,"train"
39,100,0,-170.975546470803,"test"
40,100,0,-118.38407859611,"train"
40,100,0,-170.096810089203,"test"
41,100,0,-118.79635147535,"train"
41,100,0,-170.601509705383,"test"
42,100,0,-118.882110293049,"train"
42,100,0,-171.184377126397,"test"
43,100,0,-119.185877424403,"train"
43,100,0,-170.873358242133,"test"
44,100,0,-118.752869516923,"train"
44,100,0,-169.453252928763,"test"
45,100,0,-118.835277136612,"train"
45,100,0,-169.681350784707,"test"
46,100,0,-119.208479674494,"train"
46,100,0,-169.527599430248,"test"
47,100,0,-119.013485464251,"train"
47,100,0,-169.64120394165,"test"
48,100,0,-119.594793390619,"train"
48,100,0,-169.979914957811,"test"
49,100,0,-119.809906501175,"train"
49,100,0,-169.679719977808,"test"
50,100,0,-120.255291380559,"train"
50,100,0,-169.247046493404,"test"
51,100,0,-120.709348314322,"train"
51,100,0,-169.323915500167,"test"
52,100,0,-120.186637715935,"train"
52,100,0,-169.480103272485,"test"
53,100,0,-120.716664090334,"train"
53,100,0,-169.412839671709,"test"
54,100,0,-120.862386126445,"train"
54,100,0,-169.401082002912,"test"
55,100,0,-121.730284610068,"train"
55,100,0,-169.552351167112,"test"
56,100,0,-122.421982916353,"train"
56,100,0,-169.385897302503,"test"
57,100,0,-122.567425988744,"train"
57,100,0,-168.925043660027,"test"
58,100,0,-122.456198039366,"train"
58,100,0,-168.354119764901,"test"
59,100,0,-122.06742246414,"train"
59,100,0,-168.242111548234,"test"
60,100,0,-122.447212290136,"train"
60,100,0,-167.987864283351,"test"
61,100,0,-122.878667328243,"train"
61,100,0,-168.406451987943,"test"
62,100,0,-122.891771537824,"train"
62,100,0,-167.477997703095,"test"
63,100,0,-123.189050851318,"train"
63,100,0,-167.900147391607,"test"
64,100,0,-123.568967865655,"train"
64,100,0,-166.857698313248,"test"
65,100,0,-123.385338396183,"train"
65,100,0,-167.662860167854,"test"
66,100,0,-123.695635542538,"train"
66,100,0,-167.427139651727,"test"
67,100,0,-123.120727976092,"train"
67,100,0,-167.962493525262,"test"
68,100,0,-124.021149587775,"train"
68,100,0,-168.003566726643,"test"
69,100,0,-124.151497125218,"train"
69,100,0,-167.470415433342,"test"
70,100,0,-124.109040060902,"train"
70,100,0,-167.362193301613,"test"
71,100,0,-124.150809639716,"train"
71,100,0,-167.010685070967,"test"
72,100,0,-124.708094441324,"train"
72,100,0,-167.30764962941,"test"
73,100,0,-124.670912682226,"train"
73,100,0,-167.241718061575,"test"
74,100,0,-125.272890656897,"train"
74,100,0,-167.362549620235,"test"
75,100,0,-126.171965676684,"train"
75,100,0,-167.710928342406,"test"
76,100,0,-126.353256712636,"train"
76,100,0,-167.223654627373,"test"
77,100,0,-126.220543410385,"train"
77,100,0,-167.404184091469,"test"
78,100,0,-126.663067025433,"train"
78,100,0,-167.729042621543,"test"
79,100,0,-127.621613223527,"train"
79,100,0,-167.636319122672,"test"
80,100,0,-127.902708553948,"train"
80,100,0,-167.331837515947,"test"
81,100,0,-128.038728121987,"train"
81,100,0,-167.533644092315,"test"
82,100,0,-127.836203659069,"train"
82,100,0,-167.131037527344,"test"
83,100,0,-128.252072785916,"train"
83,100,0,-166.977023749084,"test"
84,100,0,-128.731009392736,"train"
84,100,0,-167.007257542526,"test"
85,100,0,-129.305125780664,"train"
85,100,0,-167.144698438615,"test"
86,100,0,-130.015449279068,"train"
86,100,0,-167.192759368072,"test"
87,100,0,-130.147983074369,"train"
87,100,0,-167.179251214617,"test"
88,100,0,-130.980124759418,"train"
88,100,0,-167.054130965274,"test"
89,100,0,-131.103063888625,"train"
89,100,0,-167.26989279736,"test"
90,100,0,-130.903570828401,"train"
90,100,0,-167.402032690164,"test"
91,100,0,-131.432510535318,"train"
91,100,0,-166.972959244252,"test"
92,100,0,-131.732341300626,"train"
92,100,0,-167.147491115594,"test"
93,100,0,-132.583861344352,"train"
93,100,0,-167.402337445987,"test"
94,100,0,-132.935673906707,"train"
94,100,0,-167.391290958325,"test"
95,100,0,-133.340096928274,"train"
95,100,0,-167.531715483735,"test"
96,100,0,-133.199294409429,"train"
96,100,0,-167.750166923988,"test"
97,100,0,-133.781439921608,"train"
97,100,0,-167.779190136209,"test"
98,100,0,-134.218585503872,"train"
98,100,0,-167.633579314621,"test"
99,100,0,-134.477526549097,"train"
99,100,0,-167.721961010197,"test"
100,100,0,-134.973883253443,"train"
100,100,0,-167.995987505032,"test"
0,100,0.5,-196.687568430102,"train"
0,100,0.5,-207.914542909868,"test"
1,100,0.5,-174.448747289912,"train"
1,100,0.5,-178.161349699292,"test"
2,100,0.5,-163.874589829316,"train"
2,100,0.5,-179.010895885885,"test"
3,100,0.5,-154.610059941854,"train"
3,100,0.5,-172.824532904724,"test"
4,100,0.5,-152.074067622158,"train"
4,100,0.5,-169.28754228162,"test"
5,100,0.5,-151.08643147077,"train"
5,100,0.5,-168.734646310561,"test"
6,100,0.5,-147.261202697761,"train"
6,100,0.5,-168.588902513241,"test"
7,100,0.5,-145.43152446721,"train"
7,100,0.5,-164.298470324507,"test"
8,100,0.5,-143.235200541557,"train"
8,100,0.5,-158.457877398386,"test"
9,100,0.5,-141.467050498428,"train"
9,100,0.5,-154.688794896818,"test"
10,100,0.5,-140.200680809664,"train"
10,100,0.5,-156.848630757285,"test"
11,100,0.5,-138.846509857366,"train"
11,100,0.5,-156.544450958488,"test"
12,100,0.5,-138.394055366057,"train"
12,100,0.5,-156.377074776174,"test"
13,100,0.5,-136.341714836189,"train"
13,100,0.5,-160.432439594844,"test"
14,100,0.5,-135.347959740747,"train"
14,100,0.5,-162.632182750695,"test"
15,100,0.5,-134.037253353731,"train"
15,100,0.5,-163.779217904746,"test"
16,100,0.5,-133.146437054164,"train"
16,100,0.5,-163.71761096513,"test"
17,100,0.5,-131.030195473294,"train"
17,100,0.5,-165.379872035222,"test"
18,100,0.5,-130.051952022538,"train"
18,100,0.5,-163.300801029502,"test"
19,100,0.5,-127.618714545865,"train"
19,100,0.5,-161.711142964227,"test"
20,100,0.5,-127.076979767573,"train"
20,100,0.5,-162.847262507157,"test"
21,100,0.5,-127.54159349397,"train"
21,100,0.5,-161.859208093337,"test"
22,100,0.5,-127.061614877444,"train"
22,100,0.5,-162.221164608892,"test"
