"size","solution_terms","elpd","elpd.se","elpd.diff","elpd.diff.se","rmse","rmse.se","rmse.diff","rmse.diff.se","rho","n","loo_wts"
0,NA,-206.118297542144,5.99343010424447,-50.2600611952637,6.12364165977634,1.88755224004537,0.132038224461961,0.741441051239691,0.116734647361834,0.9,100,3.46263808822375e-25
1,"X.1",-170.10512349571,6.76910854204895,-14.2468871488292,4.66402859771751,1.32392914013732,0.0944651610225118,0.177817951331647,0.0671014174531782,0.9,100,1.51262009636116e-09
2,"X.7",-158.140940127718,6.02358904775701,-2.28270378083758,3.25124417963609,1.17061206355912,0.0773481366910851,0.0245008747534441,0.0434153087543439,0.9,100,0.000237524648045249
3,"X.4",-156.338631028884,5.9671200498641,-0.48039468200358,3.38633661579342,1.15027648644908,0.0743671559659334,0.00416529764340656,0.0440271601413041,0.9,100,0.00144026225593795
4,"X.13",-152.24900207998,5.5566929822017,3.60923426690101,3.17977477253929,1.09885485538827,0.0708336614476817,-0.0472563334174101,0.0414850822727071,0.9,100,0.0860091914690328
5,"X.6",-151.718950864852,5.29941884500864,4.13928548202853,3.03603966491589,1.09367537640788,0.0669810017217341,-0.0524358123977982,0.038947179140619,0.9,100,0.146131278165297
6,"X.21",-151.261553743317,5.37498599012261,4.59668260356321,2.83947901509462,1.08928500078783,0.0674457323146368,-0.056826188017848,0.036488294205649,0.9,100,0.230881018119793
7,"X.77",-152.325947172924,5.61348452873301,3.53228917395714,2.54599851949759,1.10412337845966,0.0694534503226978,-0.0419878103460181,0.0325254708168342,0.9,100,0.0796394103436038
8,"X.90",-152.56932514048,5.63121003031527,3.28891120640065,2.24011202848919,1.10691590900913,0.0688328819555342,-0.0391952797965447,0.0277651825572963,0.9,100,0.0624353179211991
9,"X.10",-152.536195756507,5.71667319091985,3.32204059037367,1.88072867334413,1.10736083948529,0.0693560996404415,-0.0387503493203913,0.0228297141210043,0.9,100,0.0645384062003933
10,"X.62",-152.377448933584,5.75382279892285,3.48078741329625,1.85690122959557,1.10520062988239,0.0698547755674262,-0.0409105589232865,0.022533424998314,0.9,100,0.0756416694457454
11,"X.48",-153.213171405271,5.85970299907643,2.64506494160929,1.72985796017125,1.11546886922948,0.0704349861050569,-0.0306423195762007,0.0207596925292978,0.9,100,0.0327952878774783
12,"X.20",-153.61930028749,5.89845429077852,2.2389360593908,1.60430008306616,1.1198349464405,0.0706417537818025,-0.0262762423651726,0.0191420148885029,0.9,100,0.0218490176250557
13,"X.5",-153.011805181219,5.87222139040481,2.84643116566184,1.50133413542904,1.1128178905855,0.0704692200874782,-0.0332932982201817,0.0177419299485558,0.9,100,0.0401110182882339
14,"X.28",-153.233265873429,5.93741225024556,2.62497047345213,1.34089269379682,1.11691003940106,0.071569680971599,-0.0292011494046192,0.0161913045031255,0.9,100,0.0321428610479383
15,"X.43",-153.084694796886,5.92681755854984,2.77354154999473,1.28941553151884,1.11414743085239,0.0714941916710756,-0.0319637579532841,0.015717757865643,0.9,100,0.0372913520477563
16,"X.83",-153.117073485904,6.00729722202582,2.74116286097631,1.3232456257476,1.11451423855622,0.0722663853587397,-0.0315969502494542,0.016052520212132,0.9,100,0.0361032454212873
17,"X.66",-153.87128949687,6.03923853015075,1.98694685001026,1.26008964585272,1.12336223475142,0.0722266170603788,-0.0227489540542576,0.014936049008258,0.9,100,0.016982217228705
18,"X.30",-154.177335572719,6.05789780915989,1.68090077416173,1.22884592091596,1.12695007288204,0.0720763010484272,-0.0191611159236416,0.0144790863292069,0.9,100,0.0125049013487009
19,"X.99",-154.350497866295,6.09174078145457,1.5077384805858,1.24978120792261,1.13045709544914,0.0725899807136516,-0.0156540933565354,0.014862116753909,0.9,100,0.0105166359733474
20,"X.40",-155.083864055043,6.2688306531224,0.77437229183809,1.32099155970243,1.13991648514347,0.0744121035889806,-0.00619470366220898,0.0155397155957437,0.9,100,0.0050510300512188
21,"X.59",-155.892616343341,6.333150405901,-0.0343799964604301,1.30656926292954,1.14957920149489,0.0748255406136436,0.00346801268920816,0.0150791141213487,0.9,100,0.00224979680832655
22,"X.23",-156.493074890155,6.49622356312442,-0.63483854327461,1.35106744884745,1.15701408353897,0.0760537542017932,0.0109028947332912,0.0152648428639127,0.9,100,0.00123414862256865
23,"X.34",-156.16752759069,6.50460829253827,-0.309291243809233,1.44051853534685,1.1524182940336,0.0763917234012456,0.00630710522792088,0.0165616909878229,0.9,100,0.00170903461314741
24,"X.54",-156.660268350969,6.58906556250235,-0.802032004088428,1.50638131572126,1.15828754406147,0.0770795110202539,0.0121763552557939,0.0171486981155831,0.9,100,0.00104413406618303
25,"X.89",-156.324171611635,6.58314052650767,-0.465935264754452,1.49515549891019,1.15386446092271,0.0770677760019685,0.00775327211703636,0.0170928622530424,0.9,100,0.00146123889838497
