"size","solution_terms","elpd","elpd.se","elpd.diff","elpd.diff.se","rmse","rmse.se","rmse.diff","rmse.diff.se","rho","n","loo_wts"
0,NA,-193.438781215127,6.5635486334059,-29.415982667601,6.58809047689215,1.66034745271065,0.130247844178023,0.414759944131473,0.116554913748719,0,100,3.49455002752202e-15
1,"X.5",-191.169479941522,7.1907530233679,-27.146681393996,6.54875437485609,1.63731440388931,0.122408196801164,0.391726895310132,0.106123546944394,0,100,3.38015241109396e-14
2,"X.4",-185.380130403669,6.7200855043542,-21.3573318561425,6.27697735859271,1.54334280594477,0.111087740531826,0.297755297365594,0.0966505420785109,0,100,1.10463510574482e-11
3,"X.3",-185.26426154414,6.90040793237903,-21.2414629966136,6.10444806227237,1.54297488244399,0.104521274984832,0.297387373864809,0.0883217850837029,0,100,1.24033799478996e-11
4,"X.1",-177.162603413516,6.04232382327373,-13.13980486599,5.42392176606407,1.42163364106725,0.0881442786203492,0.176046132488069,0.075005750916693,0,100,4.09303508964181e-08
5,"X.2",-160.175473789132,4.36783593693094,3.84732475839436,4.97082442248686,1.17500108869352,0.0702844760385064,-0.0705864198856616,0.0681608713275573,0,100,0.976027663707331
6,"X.48",-166.727725141402,5.63189002884121,-2.70492659387575,4.90922920133898,1.28046986333258,0.0793646151255984,0.0348823547534012,0.0656458779735311,0,100,0.00139269341063213
7,"X.37",-175.043786423615,6.56136676799342,-11.0209878760888,5.71086812984357,1.38768323932915,0.0811828876624728,0.142095730749968,0.0717566598637916,0,100,3.40593217095645e-07
8,"X.9",-172.768141265283,6.79811593051038,-8.74534271775644,5.27828959258372,1.35915313565233,0.0849298152450038,0.113565627073147,0.0667705139054903,0,100,3.31540150120199e-06
9,"X.7",-164.798519731294,5.84607626646465,-0.775721183768058,4.58916748159546,1.25773147207154,0.0758362915565935,0.0121439634923615,0.0586137353793043,0,100,0.00958735447357358
10,"X.10",-168.945185405148,6.55145555681824,-4.92238685762199,4.75708446512994,1.30813364733606,0.0798078409913628,0.0625461387568811,0.0584353258608429,0,100,0.00015164383688802
11,"X.68",-173.991294029038,7.44337824448402,-9.9684954815121,4.78354913849749,1.36712736296744,0.0863210148311012,0.121539854388263,0.0550399349853227,0,100,9.75725452361923e-07
12,"X.31",-173.214700897121,7.25986873809103,-9.19190234959531,4.70223608690749,1.3565786952333,0.0834060746488227,0.110991186654119,0.0542662537061612,0,100,2.12127877155735e-06
13,"X.39",-174.441705435662,7.39264325049017,-10.4189068881358,4.84007235428845,1.36684126524917,0.0831925246725654,0.121253756669995,0.0553674382759413,0,100,6.21894112685953e-07
14,"X.72",-169.307427032893,7.0449393804731,-5.28462848536692,4.44974077495697,1.31006280653749,0.0814324941835431,0.0644752979583132,0.0518357532578298,0,100,0.000105561420167299
15,"X.93",-170.918184881871,7.50933295557742,-6.89538633434477,4.48130624413958,1.32971934849625,0.0854502944504844,0.0841318399170674,0.0505842824768248,0,100,2.10844355414067e-05
16,"X.78",-172.635430739293,7.60326605710642,-8.61263219176661,4.68301634356272,1.34596272308592,0.0845415242807812,0.100375214506738,0.0521844911554474,0,100,3.78592127476432e-06
17,"X.98",-175.202977486486,7.98039686695938,-11.1801789389603,4.68769271752666,1.37409177454442,0.0873642693283038,0.128504265965237,0.050268833301913,0,100,2.90469270877057e-07
18,"X.6",-172.279988079352,7.80217658774228,-8.25718953182602,4.48862670122277,1.34376909693109,0.0873900187517676,0.0981815883519135,0.0494597742834332,0,100,5.40179831126388e-06
19,"X.100",-172.540193203542,8.26639709625163,-8.51739465601565,4.48504343336249,1.3463559760608,0.0913629441464246,0.100768467481625,0.0469737812585628,0,100,4.16421088609502e-06
20,"X.20",-174.173055516974,8.79847522633524,-10.1502569694477,4.81341858883679,1.36479713863991,0.0958718660217789,0.119209630060729,0.0482774971241586,0,100,8.13560065718323e-07
21,"X.11",-173.401327515952,8.60480650214489,-9.37852896842632,4.72106998146803,1.3551254716679,0.093797327947805,0.109537963088723,0.0479977101044726,0,100,1.76013847007684e-06
22,"X.13",-169.894200472482,8.15467967833557,-5.87140192495598,4.07172709903717,1.31764385047175,0.0913851820443296,0.0720563418925744,0.04221524677089,0,100,5.87046843747924e-05
23,"X.83",-166.779655055127,7.60985696675004,-2.75685650760118,3.8545629752135,1.2821569802098,0.0875854434604159,0.0365694716306204,0.0424809088439167,0,100,0.00132221672337195
24,"X.44",-165.216413757243,7.48971618046003,-1.19361520971706,3.77928811654389,1.26369812317258,0.0871827954321606,0.0181106145933958,0.0426034516078004,0,100,0.00631262099449427
25,"X.59",-165.450162134759,7.62784441739313,-1.42736358723274,3.78305831757748,1.2646792968402,0.088455206709967,0.0190917882610162,0.0420716422058817,0,100,0.00499682436845391
