"size","solution_terms","elpd","elpd.se","elpd.diff","elpd.diff.se","rmse","rmse.se","rmse.diff","rmse.diff.se","rho","n","method"
0,NA,-205.82696200211,6.63254652401221,-39.5712062478716,9.40333272809506,1.89459233105536,0.127293370011292,0.658253065217121,0.126128654137156,0.5,100,"forward"
1,"X.3",-185.43523092087,6.46025378052739,-19.1794751666313,8.80613702920735,1.54491756933797,0.0998854629975916,0.308578303499732,0.0990388109199101,0.5,100,"forward"
2,"X.9",-182.069507008909,7.54060644630736,-15.8137512546705,8.96102452976752,1.49173734024975,0.102874796411531,0.255398074411515,0.0977751505149319,0.5,100,"forward"
3,"X.2",-172.659807983235,7.81460952076419,-6.4040522289964,8.53192989572133,1.35338940852257,0.0930933152073382,0.11705014268433,0.0855462454942128,0.5,100,"forward"
4,"X.8",-170.832013382818,8.01679586883507,-4.5762576285795,7.15357986168764,1.3251402779811,0.0899863260242821,0.0888010121428644,0.0693914606309274,0.5,100,"forward"
5,"X.5",-164.082016536774,8.03239053452595,2.17373921746447,7.16691806229698,1.24093256037107,0.0872370588709885,0.00459329453283908,0.0684565547327392,0.5,100,"forward"
6,"X.11",-163.391019829092,8.41384989622116,2.86473592514682,6.49425106364047,1.22646238236616,0.0844809273595145,-0.00987688347207683,0.0611984378516246,0.5,100,"forward"
7,"X.6",-160.917751310283,8.44790073728076,5.33800444395618,5.82293930135246,1.19769152533529,0.0837130371267824,-0.0386477405029491,0.0557701591777412,0.5,100,"forward"
8,"X.1",-159.177151587925,8.40909085953955,7.07860416631345,5.63560333604443,1.17614137595759,0.0819231001128308,-0.0601978898806486,0.0535591164601128,0.5,100,"forward"
9,"X.14",-162.516462376571,8.28064200748311,3.73929337766745,5.63186039778125,1.20523334372532,0.0771308102796252,-0.0311059221129115,0.0527393736913015,0.5,100,"forward"
10,"X.4",-162.939524879904,8.86248381086638,3.31623087433434,5.50838184936305,1.20561194622518,0.0799639503376728,-0.0307273196130595,0.0514421546821173,0.5,100,"forward"
11,"X.7",-159.186240848415,8.56539434699972,7.06951490582355,5.1246337321315,1.16556903053194,0.0770723011189142,-0.0707702353062987,0.0474914922449608,0.5,100,"forward"
12,"X.69",-164.185454151291,9.33705499280894,2.07030160294746,4.81342738992851,1.20771547997729,0.0794197736630626,-0.0286237858609451,0.0438355600929631,0.5,100,"forward"
13,"X.49",-165.611871947188,9.67435041605412,0.643883807050964,4.71819758749132,1.21901232706369,0.0813364110517551,-0.0173269387745489,0.0430212170168715,0.5,100,"forward"
14,"X.82",-165.768862842868,9.91268929133103,0.486892911370964,4.23805788437119,1.21937671063635,0.0825552015270023,-0.0169625552018808,0.0385454493487663,0.5,100,"forward"
15,"X.28",-165.763818559441,9.73055787371511,0.491937194797876,3.7933462915819,1.21770416062624,0.0808865740862138,-0.0186351052119997,0.0344411109239565,0.5,100,"forward"
16,"X.78",-166.420058714267,9.88158456636663,-0.164302960028217,3.80296922364516,1.22308957659161,0.0810288228784426,-0.0132496892466294,0.0332575332856691,0.5,100,"forward"
