"size","solution_terms","elpd","elpd.se","elpd.diff","elpd.diff.se","rmse","rmse.se","rmse.diff","rmse.diff.se","rho","n","method"
0,NA,-98.3730470094943,3.46028837861586,-9.63962035178757,4.52195216700276,1.71079499866066,0.141038152744059,0.293365850466243,0.177747503510797,0,50,"forward"
1,"X.5",-91.6362050236395,3.87203244638211,-2.90277836593286,4.74654010560363,1.48063092811263,0.149312441247737,0.0632017799182207,0.182667524573648,0,50,"forward"
2,"X.3",-93.3551009631833,4.38216616337115,-4.62167430547661,4.16175747534469,1.5512872891472,0.130657512725333,0.133858140952782,0.137690918739068,0,50,"forward"
3,"X.7",-93.1855531669515,4.81747789429432,-4.45212650924487,4.2662735734721,1.53433710386039,0.132023987585058,0.11690795566598,0.131691056438694,0,50,"forward"
4,"X.4",-90.7915881969293,4.91374336644249,-2.05816153922257,4.05912187948309,1.4610739680724,0.127725666963887,0.0436448198779849,0.11905180444893,0,50,"forward"
5,"X.10",-87.8942618794385,4.76743882979875,0.839164778268164,3.09846420818029,1.38409132875732,0.122582838998561,-0.033337819437097,0.0907638259118037,0,50,"forward"
6,"X.1",-85.8164774834588,4.37870525226748,2.91694917424784,2.95162967815786,1.32491670921122,0.106431375346852,-0.0925124389831944,0.0850251298991725,0,50,"forward"
7,"X.59",-86.2187268009554,4.64118902310519,2.51469985675126,3.43342826077624,1.33537459936345,0.107762660618403,-0.0820545488309632,0.101196616862051,0,50,"forward"
8,"X.100",-90.8354680207631,5.69131829677223,-2.10204136305646,4.70692440943404,1.43255784984906,0.12051219972494,0.0151287016546424,0.120652039898422,0,50,"forward"
9,"X.97",-90.449618572184,5.71824483741338,-1.71619191447735,4.67198799191887,1.41245034950626,0.115745285587272,-0.00497879868815554,0.117264445224023,0,50,"forward"
10,"X.17",-92.5793379245554,6.26364204178053,-3.84591126684873,4.78201741327344,1.45405673033162,0.121147770213816,0.0366275821372071,0.110172247778743,0,50,"forward"
11,"X.38",-94.2736755085802,6.89598076654446,-5.54024885087353,5.23545556540842,1.51242469628361,0.134058820861899,0.0949955480891929,0.118666424247894,0,50,"forward"
12,"X.49",-93.1220362438478,6.70794594716435,-4.38860958614116,4.92371027985971,1.49565290851831,0.134413058152283,0.0782237603238964,0.112573994339234,0,50,"forward"
13,"X.80",-94.4511199182625,6.81798926851451,-5.71769326055587,4.85275177745396,1.51856065297369,0.133537184296701,0.101131504779279,0.103734298655698,0,50,"forward"
14,"X.37",-92.9903227671462,6.65521083754549,-4.25689610943951,4.86694209674259,1.49118019672516,0.13032737624495,0.0737510485307447,0.113036572097847,0,50,"forward"
15,"X.35",-95.0107888668766,6.53099712023957,-6.27736220916994,4.91675072836507,1.51239897372862,0.122764988905321,0.0949698255342102,0.113172100120322,0,50,"forward"
16,"X.19",-95.2274344105055,6.64282314571455,-6.49400775279877,4.9855453220346,1.52845880289291,0.124006551577917,0.111029654698493,0.105051278672376,0,50,"forward"
17,"X.93",-95.0117343314923,6.56308604961057,-6.27830767378565,4.95773031424171,1.52019729921465,0.125122337329416,0.102768151020238,0.109784575639653,0,50,"forward"
18,"X.77",-97.096852086892,6.70942991033195,-8.36342542918527,5.04738479089694,1.58261846655328,0.134701463920231,0.165189318358867,0.108876279391269,0,50,"forward"
