"day","loss","age","subj_id"
1,0,6,"17825"
1,6,29,"0"
1,7,29,"88"
1,1,28,"636"
1,0,30,"760"
1,8,27,"1257"
1,0,27,"1607"
1,3,27,"1632"
1,3,26,"1860"
1,14,26,"1869"
1,7,26,"2191"
1,3,25,"2637"
1,1,25,"2747"
1,2,25,"2833"
1,0,25,"2912"
1,0,24,"3536"
1,0,24,"3545"
1,3,24,"3696"
1,1,23,"4009"
1,6,23,"4392"
1,6,22,"4624"
1,0,22,"4686"
1,2,22,"4776"
1,0,22,"4795"
1,2,22,"4886"
1,9,22,"4964"
1,8,21,"5252"
1,12,21,"5332"
1,0,21,"5388"
1,0,21,"5413"
1,0,21,"5498"
1,0,21,"5604"
1,12,21,"5607"
1,9,21,"5646"
1,6,21,"5774"
1,12,20,"5895"
1,0,20,"5967"
1,8,20,"5990"
1,3,20,"6008"
1,3,20,"6098"
1,18,20,"6159"
1,6,20,"6258"
1,13,20,"6264"
1,9,20,"6287"
1,0,19,"6505"
1,6,19,"6512"
1,2,19,"6516"
1,2,19,"6807"
1,1,19,"6877"
1,10,19,"6930"
1,4,18,"7261"
1,18,18,"7289"
1,18,18,"7307"
1,27,18,"7321"
1,10,18,"7333"
1,12,18,"7451"
1,0,20,"7588"
1,8,19,"7598"
1,7,19,"7600"
1,3,18,"7623"
1,1,18,"7707"
1,2,18,"7721"
1,6,18,"7828"
1,11,19,"7942"
1,2,17,"7992"
1,7,17,"8053"
1,12,17,"8094"
1,1,17,"8103"
1,19,17,"8179"
1,0,17,"8183"
1,0,17,"8338"
1,6,17,"8340"
1,5,17,"8343"
1,11,17,"8371"
1,9,17,"8544"
1,14,17,"8611"
1,12,18,"8729"
1,7,16,"8834"
1,28,16,"8873"
1,7,16,"8956"
1,17,16,"8963"
1,16,16,"9009"
1,6,16,"9014"
1,8,16,"9023"
1,10,16,"9117"
1,7,16,"9344"
1,5,16,"9355"
1,3,16,"9411"
1,12,16,"9416"
1,3,26,"9542"
1,28,15,"9598"
1,0,15,"9609"
1,3,15,"9615"
1,23,15,"9662"
1,0,15,"9680"
1,17,15,"9683"
1,1,15,"9771"
1,0,15,"9847"
1,3,15,"9926"
1,2,15,"9940"
1,10,15,"9986"
1,3,20,"10069"
1,10,20,"10084"
1,3,15,"10290"
1,1,23,"10399"
1,11,14,"10646"
1,0,14,"10826"
1,3,14,"10790"
1,1,14,"10850"
1,6,14,"10866"
1,3,14,"11252"
1,0,13,"11440"
1,16,13,"11446"
1,2,13,"11475"
1,13,13,"11483"
1,15,13,"11484"
1,5,13,"11542"
1,13,13,"11717"
1,1,13,"11754"
1,4,13,"11781"
1,12,13,"11799"
1,0,13,"11895"
1,19,13,"11916"
1,3,13,"12017"
1,7,12,"12164"
1,11,12,"12298"
1,4,12,"12355"
1,0,12,"12368"
1,7,12,"12381"
1,0,12,"12505"
1,14,12,"12520"
1,13,12,"12532"
1,0,12,"12630"
1,6,12,"12631"
1,3,12,"12749"
1,5,12,"12906"
1,8,11,"12947"
1,8,11,"12958"
1,0,11,"13121"
1,1,11,"13129"
1,5,11,"13131"
1,0,11,"13260"
1,13,11,"13279"
1,8,11,"13312"
1,0,11,"13442"
1,2,11,"13473"
1,8,11,"13578"
1,13,11,"13590"
1,0,10,"13790"
1,2,10,"13825"
1,3,10,"13883"
1,9,10,"13922"
1,10,10,"14043"
1,7,10,"14066"
1,11,10,"14077"
1,0,10,"14137"
1,8,10,"14165"
1,9,10,"14177"
1,14,10,"14307"
1,0,10,"14323"
1,10,10,"14351"
1,0,9,"14651"
1,1,9,"14666"
1,5,9,"14699"
1,8,9,"14823"
1,2,9,"14826"
1,4,9,"14902"
1,4,9,"14919"
1,9,9,"14985"
1,4,9,"15041"
1,8,9,"15088"
1,0,9,"15120"
1,2,9,"15218"
1,11,21,"5453"
1,3,8,"15530"
1,12,8,"15642"
1,9,8,"15732"
1,2,8,"15820"
1,18,8,"15909"
1,6,8,"15926"
1,0,8,"16002"
1,0,8,"16090"
1,12,8,"16097"
1,6,8,"16169"
1,6,8,"16236"
1,7,8,"16258"
1,15,7,"16447"
1,0,7,"16553"
1,10,7,"16556"
1,19,7,"16598"
1,25,7,"16670"
1,14,7,"16736"
1,1,7,"16807"
1,7,7,"16972"
1,9,7,"17037"
1,14,7,"17047"
1,8,7,"17069"
1,5,7,"17103"
1,12,7,"17285"
1,2,6,"17516"
1,0,6,"17718"
1,12,6,"17738"
1,1,6,"17794"
1,1,6,"18038"
1,2,6,"18067"
1,5,6,"18069"
1,9,6,"18106"
1,12,6,"18153"
1,2,5,"18230"
1,11,5,"18232"
1,6,5,"18364"
1,11,5,"18407"
1,20,5,"18450"
1,5,5,"18489"
1,14,5,"18520"
1,4,5,"18569"
1,28,5,"18652"
1,13,5,"18653"
1,10,5,"18873"
1,7,5,"18947"
1,0,4,"19178"
1,0,4,"19220"
1,7,4,"19239"
1,0,18,"22020"
1,0,18,"22021"
1,1,22,"22023"
1,0,17,"22024"
1,0,22,"22025"
1,4,19,"22047"
1,4,19,"22048"
1,0,19,"22049"
1,2,21,"22050"
1,1,22,"22052"
1,0,23,"22053"
1,3,19,"22054"
1,9,23,"22055"
1,0,20,"22056"
1,8,21,"22057"
1,0,25,"22058"
1,0,19,"22060"
1,0,21,"22062"
1,6,21,"22064"
1,35,6,"17927"
2,6,6,"17825"
2,7,29,"0"
2,6,29,"88"
2,0,28,"636"
2,0,30,"760"
2,6,27,"1257"
2,0,27,"1607"
2,0,27,"1632"
2,1,26,"1860"
2,0,26,"1869"
2,14,26,"2191"
2,4,25,"2637"
2,2,25,"2747"
2,0,25,"2833"
2,7,25,"2912"
2,1,24,"3536"
2,0,24,"3545"
2,2,24,"3696"
2,6,23,"4009"
2,8,23,"4392"
2,0,22,"4624"
2,5,22,"4686"
2,3,22,"4776"
2,0,22,"4795"
2,22,22,"4886"
2,19,22,"4964"
2,3,21,"5252"
2,14,21,"5332"
2,1,21,"5388"
2,0,21,"5413"
2,1,21,"5498"
2,2,21,"5604"
2,0,21,"5607"
2,10,21,"5646"
2,8,21,"5774"
2,20,20,"5895"
2,3,20,"5967"
2,9,20,"5990"
2,0,20,"6008"
2,12,20,"6098"
2,13,20,"6159"
2,4,20,"6258"
2,4,20,"6264"
2,6,20,"6287"
2,5,19,"6505"
2,0,19,"6512"
2,3,19,"6516"
2,10,19,"6807"
2,0,19,"6877"
2,11,19,"6930"
2,15,18,"7261"
2,23,18,"7289"
2,17,18,"7307"
2,23,18,"7321"
2,11,18,"7333"
2,8,18,"7451"
2,0,20,"7588"
2,13,19,"7598"
2,6,19,"7600"
2,6,18,"7623"
2,1,18,"7707"
2,0,18,"7721"
2,7,18,"7828"
2,12,19,"7942"
2,1,17,"7992"
2,2,17,"8053"
2,7,17,"8094"
2,7,17,"8103"
2,17,17,"8179"
2,8,17,"8183"
2,0,17,"8338"
2,15,17,"8340"
2,11,17,"8343"
2,12,17,"8371"
2,3,17,"8544"
2,15,17,"8611"
2,25,18,"8729"
2,8,16,"8834"
2,21,16,"8873"
2,7,16,"8956"
2,9,16,"8963"
2,14,16,"9009"
2,4,16,"9014"
2,15,16,"9023"
2,10,16,"9117"
2,13,16,"9344"
2,17,16,"9355"
2,3,16,"9411"
2,8,16,"9416"
2,11,26,"9542"
2,33,15,"9598"
2,0,15,"9609"
2,12,15,"9615"
2,25,15,"9662"
2,1,15,"9680"
2,8,15,"9683"
2,0,15,"9771"
2,0,15,"9847"
2,18,15,"9926"
2,9,15,"9940"
2,12,15,"9986"
2,3,20,"10069"
2,22,20,"10084"
2,4,15,"10290"
2,1,23,"10399"
2,10,14,"10646"
2,0,14,"10826"
2,0,14,"10790"
