"rank","freq","name","rho","method"
"1",0.272727272727273,"X5",0,"forward"
"2",0.272727272727273,"X5",0,"forward"
"3",0.181818181818182,"X5",0,"forward"
"4",0.181818181818182,"X5",0,"forward"
"5",0.0909090909090909,"X5",0,"forward"
"1",0.0909090909090909,"X2",0,"forward"
"2",0.181818181818182,"X2",0,"forward"
"3",0.0909090909090909,"X2",0,"forward"
"4",0.272727272727273,"X2",0,"forward"
"5",0.363636363636364,"X2",0,"forward"
"1",0.0909090909090909,"X3",0,"forward"
"2",0.181818181818182,"X3",0,"forward"
"3",0.363636363636364,"X3",0,"forward"
"4",0.181818181818182,"X3",0,"forward"
"5",0.0909090909090909,"X3",0,"forward"
"6",0.0909090909090909,"X3",0,"forward"
"1",0.181818181818182,"X1",0,"forward"
"2",0.363636363636364,"X1",0,"forward"
"3",0.0909090909090909,"X1",0,"forward"
"4",0.0909090909090909,"X1",0,"forward"
"5",0.0909090909090909,"X1",0,"forward"
"6",0.181818181818182,"X1",0,"forward"
"1",0.363636363636364,"X4",0,"forward"
"3",0.272727272727273,"X4",0,"forward"
"4",0.0909090909090909,"X4",0,"forward"
"5",0.272727272727273,"X4",0,"forward"
"6",0.0909090909090909,"X6",0,"forward"
"7",0.272727272727273,"X6",0,"forward"
"8",0.0909090909090909,"X6",0,"forward"
"9",0.0909090909090909,"X6",0,"forward"
"10",0.272727272727273,"X6",0,"forward"
"13",0.0909090909090909,"X6",0,"forward"
"51",0.0909090909090909,"X6",0,"forward"
"6",0.181818181818182,"X7",0,"forward"
"7",0.0909090909090909,"X7",0,"forward"
"8",0.181818181818182,"X7",0,"forward"
"9",0.0909090909090909,"X7",0,"forward"
"10",0.0909090909090909,"X7",0,"forward"
"11",0.181818181818182,"X7",0,"forward"
"13",0.0909090909090909,"X7",0,"forward"
"14",0.0909090909090909,"X7",0,"forward"
"4",0.0909090909090909,"X8",0,"forward"
"6",0.272727272727273,"X8",0,"forward"
"8",0.181818181818182,"X8",0,"forward"
"9",0.181818181818182,"X8",0,"forward"
"10",0.0909090909090909,"X8",0,"forward"
"17",0.0909090909090909,"X8",0,"forward"
"20",0.0909090909090909,"X8",0,"forward"
"6",0.181818181818182,"X10",0,"forward"
"7",0.363636363636364,"X10",0,"forward"
"8",0.0909090909090909,"X10",0,"forward"
"9",0.181818181818182,"X10",0,"forward"
"10",0.0909090909090909,"X10",0,"forward"
"12",0.0909090909090909,"X10",0,"forward"
"4",0.0909090909090909,"X9",0,"forward"
"8",0.0909090909090909,"X9",0,"forward"
"9",0.181818181818182,"X9",0,"forward"
"10",0.0909090909090909,"X9",0,"forward"
"11",0.181818181818182,"X9",0,"forward"
"12",0.181818181818182,"X9",0,"forward"
"13",0.0909090909090909,"X9",0,"forward"
"19",0.0909090909090909,"X9",0,"forward"
"11",0.0909090909090909,"X62",0,"forward"
"34",0.0909090909090909,"X62",0,"forward"
"42",0.0909090909090909,"X62",0,"forward"
"52",0.0909090909090909,"X62",0,"forward"
"64",0.0909090909090909,"X62",0,"forward"
"69",0.181818181818182,"X62",0,"forward"
"86",0.0909090909090909,"X62",0,"forward"
"94",0.0909090909090909,"X62",0,"forward"
"95",0.0909090909090909,"X62",0,"forward"
"99",0.0909090909090909,"X62",0,"forward"
"12",0.0909090909090909,"X80",0,"forward"
"14",0.0909090909090909,"X80",0,"forward"
"38",0.0909090909090909,"X80",0,"forward"
"44",0.0909090909090909,"X80",0,"forward"
"51",0.0909090909090909,"X80",0,"forward"
"72",0.0909090909090909,"X80",0,"forward"
"77",0.0909090909090909,"X80",0,"forward"
"80",0.0909090909090909,"X80",0,"forward"
"83",0.0909090909090909,"X80",0,"forward"
"96",0.0909090909090909,"X80",0,"forward"
"98",0.0909090909090909,"X80",0,"forward"
"13",0.0909090909090909,"X70",0,"forward"
"16",0.0909090909090909,"X70",0,"forward"
"24",0.0909090909090909,"X70",0,"forward"
"32",0.0909090909090909,"X70",0,"forward"
"34",0.0909090909090909,"X70",0,"forward"
"39",0.0909090909090909,"X70",0,"forward"
"49",0.0909090909090909,"X70",0,"forward"
"65",0.0909090909090909,"X70",0,"forward"
"83",0.0909090909090909,"X70",0,"forward"
"96",0.0909090909090909,"X70",0,"forward"
"99",0.0909090909090909,"X70",0,"forward"
"12",0.0909090909090909,"X79",0,"forward"
"14",0.0909090909090909,"X79",0,"forward"
"25",0.0909090909090909,"X79",0,"forward"
"26",0.0909090909090909,"X79",0,"forward"
"29",0.0909090909090909,"X79",0,"forward"
"30",0.0909090909090909,"X79",0,"forward"
"31",0.181818181818182,"X79",0,"forward"
"43",0.0909090909090909,"X79",0,"forward"
"63",0.0909090909090909,"X79",0,"forward"
"99",0.0909090909090909,"X79",0,"forward"
"15",0.0909090909090909,"X86",0,"forward"
"21",0.0909090909090909,"X86",0,"forward"
"23",0.0909090909090909,"X86",0,"forward"
"29",0.0909090909090909,"X86",0,"forward"
"31",0.0909090909090909,"X86",0,"forward"
"37",0.0909090909090909,"X86",0,"forward"
"47",0.0909090909090909,"X86",0,"forward"
"63",0.0909090909090909,"X86",0,"forward"
"71",0.0909090909090909,"X86",0,"forward"
"79",0.0909090909090909,"X86",0,"forward"
