"rank","freq","name","rho","nclusters"
"1",1,"X3",0,10
"2",1,"X1",0,10
"3",1,"X4",0,10
"4",1,"X5",0,10
"5",1,"X2",0,10
"6",1,"X7",0,10
"7",1,"X6",0,10
"8",1,"X8",0,10
"9",1,"X40",0,10
"10",1,"X28",0,10
"11",1,"X98",0,10
"12",1,"X10",0,10
"13",1,"X14",0,10
"14",1,"X15",0,10
"15",1,"X9",0,10
"16",0.636363636363636,"X65",0,10
"17",0.363636363636364,"X65",0,10
"16",0.363636363636364,"X86",0,10
"17",0.636363636363636,"X86",0,10
"18",1,"X11",0,10
"19",1,"X43",0,10
"20",1,"X29",0,10
"21",1,"X63",0,10
"22",1,"X27",0,10
"23",0.727272727272727,"X70",0,10
"24",0.272727272727273,"X70",0,10
"23",0.272727272727273,"X46",0,10
"24",0.727272727272727,"X46",0,10
"25",1,"X48",0,10
"26",1,"X37",0,10
"27",1,"X12",0,10
"28",1,"X60",0,10
"29",1,"X71",0,10
"30",1,"X84",0,10
"31",1,"X42",0,10
"32",1,"X54",0,10
"33",1,"X53",0,10
"34",0.909090909090909,"X41",0,10
"42",0.0909090909090909,"X41",0,10
"35",0.909090909090909,"X79",0,10
"43",0.0909090909090909,"X79",0,10
"36",0.181818181818182,"X92",0,10
"37",0.727272727272727,"X92",0,10
"40",0.0909090909090909,"X92",0,10
"36",0.727272727272727,"X35",0,10
"37",0.181818181818182,"X35",0,10
"44",0.0909090909090909,"X35",0,10
"38",0.909090909090909,"X44",0,10
"41",0.0909090909090909,"X44",0,10
"35",0.0909090909090909,"X51",0,10
"39",0.909090909090909,"X51",0,10
"36",0.0909090909090909,"X21",0,10
"40",0.909090909090909,"X21",0,10
"38",0.0909090909090909,"X68",0,10
"41",0.909090909090909,"X68",0,10
"37",0.0909090909090909,"X72",0,10
"42",0.909090909090909,"X72",0,10
"43",0.909090909090909,"X26",0,10
"45",0.0909090909090909,"X26",0,10
"44",0.909090909090909,"X58",0,10
"49",0.0909090909090909,"X58",0,10
"45",0.909090909090909,"X80",0,10
"46",0.0909090909090909,"X80",0,10
"46",0.727272727272727,"X85",0,10
