"rank","freq","name","rho","regul"
"1",0.181818181818182,"X3",0,1e-04
"2",0.181818181818182,"X3",0,1e-04
"3",0.181818181818182,"X3",0,1e-04
"4",0.0909090909090909,"X3",0,1e-04
"5",0.181818181818182,"X3",0,1e-04
"6",0.181818181818182,"X3",0,1e-04
"1",0.181818181818182,"X5",0,1e-04
"2",0.181818181818182,"X5",0,1e-04
"3",0.181818181818182,"X5",0,1e-04
"4",0.181818181818182,"X5",0,1e-04
"5",0.272727272727273,"X5",0,1e-04
"1",0.454545454545455,"X1",0,1e-04
"2",0.0909090909090909,"X1",0,1e-04
"3",0.181818181818182,"X1",0,1e-04
"4",0.0909090909090909,"X1",0,1e-04
"5",0.0909090909090909,"X1",0,1e-04
"6",0.0909090909090909,"X1",0,1e-04
"1",0.0909090909090909,"X2",0,1e-04
"2",0.181818181818182,"X2",0,1e-04
"3",0.272727272727273,"X2",0,1e-04
"4",0.363636363636364,"X2",0,1e-04
"7",0.0909090909090909,"X2",0,1e-04
"1",0.0909090909090909,"X4",0,1e-04
"2",0.363636363636364,"X4",0,1e-04
"3",0.181818181818182,"X4",0,1e-04
"4",0.0909090909090909,"X4",0,1e-04
"5",0.181818181818182,"X4",0,1e-04
"6",0.0909090909090909,"X4",0,1e-04
"4",0.0909090909090909,"X7",0,1e-04
"6",0.181818181818182,"X7",0,1e-04
"7",0.0909090909090909,"X7",0,1e-04
"8",0.181818181818182,"X7",0,1e-04
"9",0.181818181818182,"X7",0,1e-04
"10",0.181818181818182,"X7",0,1e-04
"11",0.0909090909090909,"X7",0,1e-04
"6",0.363636363636364,"X6",0,1e-04
"7",0.181818181818182,"X6",0,1e-04
"8",0.0909090909090909,"X6",0,1e-04
"10",0.0909090909090909,"X6",0,1e-04
"11",0.181818181818182,"X6",0,1e-04
"18",0.0909090909090909,"X6",0,1e-04
"8",0.0909090909090909,"X38",0,1e-04
"23",0.0909090909090909,"X38",0,1e-04
"26",0.0909090909090909,"X38",0,1e-04
"30",0.0909090909090909,"X38",0,1e-04
"36",0.0909090909090909,"X38",0,1e-04
"40",0.0909090909090909,"X38",0,1e-04
"50",0.0909090909090909,"X38",0,1e-04
"63",0.0909090909090909,"X38",0,1e-04
"76",0.0909090909090909,"X38",0,1e-04
"83",0.0909090909090909,"X38",0,1e-04
"95",0.0909090909090909,"X38",0,1e-04
"9",0.181818181818182,"X12",0,1e-04
"10",0.0909090909090909,"X12",0,1e-04
"16",0.0909090909090909,"X12",0,1e-04
"17",0.0909090909090909,"X12",0,1e-04
"19",0.181818181818182,"X12",0,1e-04
"29",0.0909090909090909,"X12",0,1e-04
"30",0.0909090909090909,"X12",0,1e-04
"35",0.0909090909090909,"X12",0,1e-04
"39",0.0909090909090909,"X12",0,1e-04
"5",0.181818181818182,"X9",0,1e-04
"7",0.0909090909090909,"X9",0,1e-04
"8",0.272727272727273,"X9",0,1e-04
"10",0.181818181818182,"X9",0,1e-04
"11",0.181818181818182,"X9",0,1e-04
"28",0.0909090909090909,"X9",0,1e-04
"7",0.181818181818182,"X14",0,1e-04
"11",0.181818181818182,"X14",0,1e-04
"13",0.0909090909090909,"X14",0,1e-04
"17",0.181818181818182,"X14",0,1e-04
"23",0.0909090909090909,"X14",0,1e-04
"24",0.0909090909090909,"X14",0,1e-04
"62",0.0909090909090909,"X14",0,1e-04
"72",0.0909090909090909,"X14",0,1e-04
"5",0.0909090909090909,"X8",0,1e-04
"6",0.0909090909090909,"X8",0,1e-04
"7",0.181818181818182,"X8",0,1e-04
"8",0.272727272727273,"X8",0,1e-04
"9",0.0909090909090909,"X8",0,1e-04
"10",0.0909090909090909,"X8",0,1e-04
"12",0.0909090909090909,"X8",0,1e-04
"14",0.0909090909090909,"X8",0,1e-04
"13",0.0909090909090909,"X26",0,1e-04
"26",0.0909090909090909,"X26",0,1e-04
"35",0.0909090909090909,"X26",0,1e-04
"40",0.181818181818182,"X26",0,1e-04
"55",0.0909090909090909,"X26",0,1e-04
"60",0.0909090909090909,"X26",0,1e-04
"72",0.0909090909090909,"X26",0,1e-04
"82",0.0909090909090909,"X26",0,1e-04
