"size","solution_terms","elpd.loo","elpd.se","elpd.diff","elpd.diff.se","rmse.loo","rmse.se","rmse.diff","rmse.diff.se","regul","rho","n"
0,NA,-101.237460402395,4.97294553264658,-21.9711573324468,2.87184226039254,1.8040896373981,0.172821371294498,0.6213940561762,0.0884656437650341,1e-04,0,50
1,"X.2",-100.946941466718,5.4401512975714,-21.6806383967698,3.12149155053155,1.79046411074801,0.166922219008803,0.60776852952611,0.0833088344552023,1e-04,0,50
2,"X.3",-99.5420447481655,5.75833621895054,-20.2757416782174,3.4430755288851,1.74222983430954,0.168807739848936,0.559534253087643,0.0953620031307733,1e-04,0,50
3,"X.5",-88.5910560368111,4.98057537970234,-9.32475296686311,2.93351839573827,1.44331004424286,0.160653415147579,0.26061446302096,0.0983762967507212,1e-04,0,50
4,"X.94",-87.7785862132114,4.84930092145762,-8.51228314326338,2.53769686926916,1.43121228312144,0.145535038629863,0.24851670189954,0.0814566133186141,1e-04,0,50
5,"X.4",-89.3354403557543,4.88156086063845,-10.0691372858063,2.58883758811096,1.460509895554,0.130440110561137,0.277814314332105,0.0671213215694052,1e-04,0,50
6,"X.1",-88.2943773323933,5.20967828731514,-9.02807426244526,2.80075165148479,1.4471425439005,0.135536286835076,0.2644469626786,0.0699168740915233,1e-04,0,50
7,"X.9",-85.0611277837731,4.8908104073536,-5.79482471382508,2.46079147601521,1.36163351243336,0.129395745416488,0.178937931211467,0.0625815607762641,1e-04,0,50
8,"X.31",-84.6230922649574,5.24001736219628,-5.35678919500936,2.59355007480677,1.36186467736327,0.137446506029337,0.179169096141378,0.0655337141265025,1e-04,0,50
9,"X.21",-86.9534687055556,5.1151704632367,-7.68716563560755,2.57317545373926,1.40447066564749,0.127320125024675,0.221775084425592,0.0603562574637967,1e-04,0,50
10,"X.13",-88.515404563455,5.17905214059477,-9.24910149350695,2.62488377860085,1.43133089838097,0.123977781038632,0.248635317159078,0.056654917015331,1e-04,0,50
11,"X.20",-87.7086707375584,5.05706246276095,-8.44236766761041,2.2529228173362,1.41350022198163,0.123844087955729,0.230804640759738,0.0487850318681429,1e-04,0,50
12,"X.38",-87.5636774182478,5.30792702407377,-8.29737434829982,2.43707501606519,1.41261860828911,0.129672562335965,0.229923027067217,0.0488850239000707,1e-04,0,50
13,"X.43",-85.2882977028084,5.15132528586809,-6.02199463286036,2.33685906351611,1.37260019868478,0.132980164276,0.189904617462886,0.0545743889287357,1e-04,0,50
14,"X.95",-83.0853798515059,4.92604509885984,-3.81907678155793,2.04939294257032,1.3262147072531,0.133087466645875,0.143519126031203,0.0502063503289646,1e-04,0,50
15,"X.55",-81.8931136252737,4.92402284032218,-2.62681055532572,2.05489124451033,1.30444146266411,0.136285442471925,0.121745881442217,0.0561489141025301,1e-04,0,50
16,"X.37",-82.3289349707556,4.88310495211305,-3.06263190080758,1.91718227713062,1.30936173936056,0.133840328312945,0.126666158138669,0.0525424155024748,1e-04,0,50
17,"X.81",-82.56068918414,5.06210041570995,-3.29438611419197,2.10916711536002,1.31864225456602,0.139384244807525,0.135946673344124,0.0580029145269825,1e-04,0,50
18,"X.19",-82.8040067117961,5.06998707707345,-3.53770364184804,2.22106336343519,1.32863235222815,0.139479790626359,0.145936771006258,0.0582099679605538,1e-04,0,50
19,"X.92",-83.364633087612,5.13312031933453,-4.09833001766402,2.24120647083603,1.3395276407063,0.139734240257251,0.156832059484402,0.0580274841342109,1e-04,0,50
20,"X.63",-83.8113044421693,4.914611356954,-4.5450013722213,2.10283542159559,1.34291528815417,0.133390024507181,0.160219706932274,0.0534747078548217,1e-04,0,50
21,"X.93",-84.1935267709474,4.91067378228265,-4.92722370099939,2.1716503447208,1.345218029943,0.131982375546265,0.162522448721101,0.0535055105601156,1e-04,0,50
22,"X.26",-84.7567432848587,5.13397969332316,-5.49044021491071,2.41893967636418,1.35365216436895,0.134343300323177,0.170956583147059,0.0563477606612398,1e-04,0,50
23,"X.64",-84.3117962744126,5.21682954259129,-5.04549320446457,2.5485099388395,1.35412553332055,0.134463979583213,0.171429952098653,0.0587250411547916,1e-04,0,50
24,"X.79",-83.4491188855501,5.15182162315039,-4.18281581560211,2.53295367446282,1.35118638532563,0.133851086175155,0.168490804103738,0.0590002045970169,1e-04,0,50
25,"X.86",-81.5542354604735,5.21780544272202,-2.28793239052551,2.48684511030276,1.32828719768488,0.138485295909466,0.145591616462988,0.0609096511826043,1e-04,0,50
0,NA,-101.237460402395,4.97294553264658,-21.9711573324468,2.87184226039254,1.8040896373981,0.172821371294498,0.6213940561762,0.0884656437650341,0.5,0,50
1,"X.2",-100.918767570456,5.43883659428248,-21.6524645005077,3.11708007524741,1.7896029441374,0.16695623176533,0.606907362915509,0.0831560755547611,0.5,0,50
2,"X.3",-99.5233846170525,5.75691409782337,-20.2570815471045,3.43438484046456,1.74147586774679,0.16865172568925,0.558780286524896,0.0948608321345173,0.5,0,50
3,"X.5",-88.6220417312634,4.98347620133305,-9.35573866131541,2.92388969894556,1.4444610288279,0.160419814627079,0.261765447606002,0.0976446851996063,0.5,0,50
4,"X.94",-87.8020083573564,4.85377714417611,-8.53570528740837,2.52855269556378,1.43207447943998,0.145441870945496,0.24937889821808,0.0808115840520153,0.5,0,50
5,"X.4",-89.3473844004694,4.8876232745699,-10.0810813305214,2.58095858999142,1.46100816608364,0.130520539542819,0.278312584861747,0.0665910699755691,0.5,0,50
6,"X.1",-88.307759115173,5.21296747071841,-9.04145604522503,2.7891061019359,1.44755842362648,0.135522839667988,0.264862842404587,0.0693259523832153,0.5,0,50
7,"X.9",-85.0864476541941,4.89880752382211,-5.8201445842461,2.45202965413581,1.36255820909853,0.129479485280038,0.179862627876634,0.0620460189403078,0.5,0,50
8,"X.31",-84.637263600637,5.25014167854046,-5.37096053068899,2.58885047355324,1.36276025604009,0.137523336380264,0.180064674818194,0.0650372419892067,0.5,0,50
9,"X.21",-86.912977472261,5.12003201890117,-7.64667440231301,2.55865168220203,1.40383946651592,0.127368589185793,0.221143885294024,0.059699236708156,0.5,0,50
10,"X.13",-88.4530840810667,5.18396318199782,-9.18678101111864,2.60719544330869,1.4300514981724,0.12407894029772,0.247355916950505,0.0559556884748225,0.5,0,50
11,"X.20",-87.6557014367771,5.06967119769548,-8.3893983668291,2.24485298199935,1.41263481416518,0.124056577496475,0.229939232943282,0.0482635915527176,0.5,0,50
12,"X.38",-87.5090576666296,5.32140181724919,-8.24275459668154,2.4333071836015,1.4115202839272,0.129824999262191,0.228824702705302,0.0484569911040262,0.5,0,50
13,"X.43",-85.245441542848,5.17011904556929,-5.9791384729,2.3324534818303,1.37170023569501,0.133103247585098,0.189004654473111,0.0540896420661454,0.5,0,50
14,"X.95",-83.0761559905882,4.95581593771361,-3.80985292064022,2.06093481499607,1.32630686488723,0.133258348262254,0.143611283665336,0.0499392675450698,0.5,0,50
15,"X.55",-81.8832908916774,4.95831128839197,-2.61698782172943,2.07208267213625,1.30464219858129,0.136376658174507,0.121946617359395,0.0557772341629081,0.5,0,50
16,"X.37",-82.3296135904541,4.92158397712062,-3.06331052050609,1.9374374833875,1.3097871978252,0.133952023602353,0.1270916166033,0.0521451065293355,0.5,0,50
17,"X.81",-82.5445493922849,5.09734241037205,-3.27824632233688,2.12718773410049,1.31842467425097,0.139319309877975,0.135729093029079,0.0575365767592886,0.5,0,50
18,"X.19",-82.7744589559095,5.10536353995521,-3.5081558859615,2.2370015456664,1.32777406793948,0.139359360126117,0.145078486717582,0.057686618655392,0.5,0,50
19,"X.92",-83.344549440529,5.1717982211306,-4.07824637058101,2.262216933084,1.33898662817873,0.1396157214647,0.156291046956834,0.057516949509251,0.5,0,50
20,"X.63",-83.7855728058979,4.95981967207326,-4.5192697359499,2.12290765267608,1.34227556742293,0.133399244687385,0.159579986201038,0.0530599232494407,0.5,0,50
21,"X.93",-84.184571720113,4.95922567629873,-4.91826865016498,2.18898081382453,1.34475176572994,0.131969134820727,0.162056184508049,0.0529604782173923,0.5,0,50
22,"X.26",-84.7331058562823,5.18051663082815,-5.46680278633424,2.43850722022061,1.35303170725328,0.13428242276464,0.170336126031384,0.0558426990358202,0.5,0,50
23,"X.64",-84.3224097602276,5.26694153511392,-5.05610669027954,2.57129340528738,1.35411399918466,0.134366027221401,0.171418417962764,0.0581894882954027,0.5,0,50
24,"X.79",-83.4992568434334,5.20740779004098,-4.23295377348537,2.55768375814779,1.3511819949052,0.133662466559434,0.168486413683301,0.0583007440640961,0.5,0,50
25,"X.86",-81.6575303649802,5.2790808658448,-2.39122729503219,2.52635301236092,1.32933245062654,0.138206661411106,0.146636869404647,0.0602981414767436,0.5,0,50
0,NA,-101.237460402395,4.97294553264658,-21.9711573324468,2.87184226039254,1.8040896373981,0.172821371294498,0.6213940561762,0.0884656437650341,0.9999,0,50
1,"X.2",-100.89167521366,5.43745824287785,-21.6253721437124,3.11276443765936,1.78877839200413,0.166990434400545,0.606082810782238,0.0830106584182143,0.9999,0,50
2,"X.3",-99.5054011941254,5.75540014249346,-20.2390981241773,3.42585148472509,1.74075644576557,0.168502831219229,0.558060864543672,0.0943746834437033,0.9999,0,50
3,"X.5",-88.6544260525499,4.98629698999954,-9.3881229826019,2.91449058109521,1.44562841614379,0.160196191949305,0.262932834921895,0.0969319511418713,0.9999,0,50
4,"X.94",-87.8270061091271,4.85816715430788,-8.56070303917911,2.51969668292824,1.43296037193932,0.145356138881022,0.250264790717427,0.0801836578798266,0.9999,0,50
5,"X.4",-89.360642681686,4.89356616465386,-10.094339611738,2.57339389545632,1.46153631918047,0.130606880323967,0.278840737958572,0.066079571382118,0.9999,0,50
6,"X.1",-88.3227948405266,5.21615933663561,-9.05649177057861,2.77781967945351,1.44800898745511,0.135516065569885,0.265313406233217,0.0687525372075652,0.9999,0,50
7,"X.9",-85.1137209204377,4.90659281149992,-5.84741785048971,2.44361609246393,1.36351099206497,0.12956759798667,0.18081541084307,0.0615276353030586,0.9999,0,50
8,"X.31",-84.6539590026855,5.25986239710306,-5.38765593273744,2.58427694504541,1.36368437019502,0.137603009909384,0.180988788973127,0.0645567003322228,0.9999,0,50
9,"X.21",-86.8767120183741,5.12476702196323,-7.61040894842612,2.54458079266875,1.40330778816281,0.127425455688177,0.220612206940918,0.0590645665185451,0.9999,0,50
10,"X.13",-88.395021736656,5.18873492614917,-9.12871866670803,2.59006046209046,1.42889390262642,0.124188453971307,0.246198321404522,0.0552818085832687,0.9999,0,50
11,"X.20",-87.6073350065132,5.08201589006514,-8.34103193656514,2.23753117372061,1.41188592064237,0.124272785575363,0.229190339420472,0.0477682788702691,0.9999,0,50
12,"X.38",-87.4589870510722,5.33454056288564,-8.19268398112413,2.43015600292692,1.41054878932334,0.129985045687111,0.227853208101448,0.0480552425174319,0.9999,0,50
13,"X.43",-85.207646396386,5.18829542115346,-5.94134332643795,2.32885023988911,1.37092969946244,0.133233128399961,0.188234118240543,0.0536300860196401,0.9999,0,50
14,"X.95",-83.0708318979752,4.98433539933205,-3.80452882802714,2.0725720848849,1.32647940070865,0.133431117828057,0.143783819486754,0.0496861615925188,0.9999,0,50
15,"X.55",-81.8778088559447,4.99105551454782,-2.61150578599667,2.08906843549762,1.3049322926982,0.13647323892176,0.122236711476308,0.0554226590198679,0.9999,0,50
16,"X.37",-82.3337149529474,4.95816378153873,-3.06741188299936,1.95726105515687,1.31027919683117,0.134068477227341,0.127583615609272,0.0517657812402337,0.9999,0,50
17,"X.81",-82.533591851947,5.13104627973657,-3.26728878199902,2.14515663498148,1.31834111465461,0.139275046886293,0.13564553343271,0.057095691046244,0.9999,0,50
18,"X.19",-82.7507113117734,5.13920605525162,-3.4844082418254,2.25309987648673,1.32709791588995,0.139266207462194,0.144402334668056,0.0571946352509819,0.9999,0,50
19,"X.92",-83.3302730324316,5.20860989759358,-4.06396996248355,2.28304994454238,1.33861150300668,0.139524824922644,0.155915921784783,0.0570376245607085,0.9999,0,50
20,"X.63",-83.7667427297745,5.00260123282723,-4.50043965982651,2.14303619429907,1.34181603894693,0.133428146663531,0.159120457725031,0.0526714555124771,0.9999,0,50
21,"X.93",-84.1811379974632,5.00509072643944,-4.91483492751518,2.20690169783198,1.34446949259803,0.131981495089878,0.16177391137613,0.0524567714517811,0.9999,0,50
22,"X.26",-84.7166668289283,5.22410469199852,-5.45036375898023,2.45766720132404,1.35261170217285,0.134245449678727,0.16991612095096,0.0553654384323825,0.9999,0,50
23,"X.64",-84.3383198413096,5.31366236783198,-5.0720167713616,2.59308742579845,1.3542440880401,0.134297974661315,0.171548506818201,0.0576833654005853,0.9999,0,50
24,"X.79",-83.5525069547691,5.25875766431458,-4.2862038848211,2.58094181118508,1.35130142217327,0.13351090837491,0.168605840951372,0.0576388295419686,0.9999,0,50
25,"X.86",-81.7632209613099,5.33514392699406,-2.49691789136192,2.56271724316232,1.33041373856492,0.137967116561983,0.14771815734303,0.0597152895235769,0.9999,0,50
0,NA,-104.930965592015,5.04863142786339,-21.9666828299186,5.27019395579797,1.95722999725543,0.190501888908419,0.79518142154957,0.177602724909185,1e-04,0.5,50
1,"X.5",-87.4728545240214,4.66875762558908,-4.50857176192465,4.33790835262155,1.3720540160656,0.145920855166401,0.210005440359741,0.123309523761691,1e-04,0.5,50
2,"X.1",-86.1595636029438,5.04642213776571,-3.19528084084702,3.35710751878094,1.34293288112517,0.139796967076261,0.180884305419313,0.0967667876426715,1e-04,0.5,50
3,"X.2",-81.9595420663014,4.2242826300099,1.00474069579542,2.66652341913415,1.22810489028332,0.116008523933856,0.0660563145774595,0.0730466448149213,1e-04,0.5,50
4,"X.33",-83.2306578991161,4.27569192565572,-0.266375137019355,2.67849726106107,1.26224808217736,0.110332158436275,0.100199506471496,0.0712795281942435,1e-04,0.5,50
5,"X.4",-79.6407418448169,4.00833724362062,3.32354091727985,2.51935546311229,1.16516875753866,0.109231187713277,0.00312018183279661,0.0691092728986245,1e-04,0.5,50
6,"X.9",-80.8325811980547,4.72932275324133,2.13170156404212,2.64386488614306,1.20018776651023,0.111855482743175,0.0381391908043653,0.0602113916438225,1e-04,0.5,50
7,"X.7",-79.92228283282,4.80928121709222,3.04199992927673,2.61074899395484,1.18097716412026,0.113462678811193,0.0189285884143959,0.0615317309928802,1e-04,0.5,50
8,"X.29",-77.7495382793181,4.12380565625125,5.21474448277862,2.21865320163985,1.11930032707121,0.0984900022863839,-0.0427482486346471,0.0501136081052508,1e-04,0.5,50
9,"X.24",-76.520784923776,3.91601693076648,6.44349783832074,2.19117305038956,1.08635041282821,0.0936476085330961,-0.0756981628776503,0.0477007823141749,1e-04,0.5,50
10,"X.6",-77.8199446750777,4.18962126938803,5.1443380870191,1.53607291203572,1.10473368422445,0.0953004431554163,-0.0573148914814119,0.0327006238398355,1e-04,0.5,50
11,"X.93",-79.1126828997212,4.30382094943041,3.85159986237558,1.76970203604644,1.13496707483289,0.0943727427472685,-0.0270815008729697,0.0346956042842464,1e-04,0.5,50
12,"X.81",-80.6715628706134,4.49253491302626,2.29271989148338,1.69219173889961,1.16532249170877,0.0945442686112084,0.0032739160029096,0.0327917331079247,1e-04,0.5,50
13,"X.94",-80.8830840773571,4.72822543215073,2.08119868473965,1.52676676200592,1.1634163043556,0.0979367601316189,0.00136772864974222,0.0270213372616035,1e-04,0.5,50
14,"X.41",-81.2818992852037,5.00916636197476,1.68238347689304,1.36055464276942,1.16796966521129,0.102256920879378,0.00592108950543224,0.022468399778571,1e-04,0.5,50
15,"X.38",-81.9773729538115,5.09159865313924,0.986909808285278,1.40141627754846,1.17703453500231,0.102875724728956,0.0149859592964487,0.0226790867174494,1e-04,0.5,50
16,"X.68",-82.1975641624143,5.17256978784503,0.766718599682436,1.35090759077498,1.17801740994248,0.104205461663916,0.0159688342366162,0.0216603418413311,1e-04,0.5,50
17,"X.31",-81.6938992752746,5.06129231467889,1.2703834868222,1.33575133828134,1.16282926358786,0.10277879914414,0.000780687882002473,0.0210626001931189,1e-04,0.5,50
18,"X.60",-81.8419709622238,5.37151181869231,1.12231179987293,1.31443552986418,1.16095791349954,0.108241641477327,-0.00109066220632359,0.022810521453245,1e-04,0.5,50
19,"X.10",-82.0820898011295,5.41835041860377,0.882192960967295,1.28571143836615,1.15976670545256,0.108241072573249,-0.00228187025330473,0.019490056598022,1e-04,0.5,50
20,"X.96",-82.0590156994369,5.43355530291407,0.905267062659827,1.27368505859177,1.15611045210534,0.108726396319609,-0.00593812360051782,0.020910486564158,1e-04,0.5,50
21,"X.3",-81.9697395265975,5.44877273856649,0.994543235499285,1.30802285250931,1.15235408987849,0.109149058033674,-0.00969448582736887,0.0218671083450667,1e-04,0.5,50
22,"X.37",-81.0242274093081,5.46996303322088,1.94005535278865,1.30506576312478,1.13339175170476,0.111102793842578,-0.028656824001098,0.0212236013006402,1e-04,0.5,50
23,"X.12",-80.5038227604316,5.4436061358286,2.46046000166518,1.19683741826101,1.12039969492964,0.113331533203391,-0.0416488807762194,0.0236023842818862,1e-04,0.5,50
24,"X.25",-81.2230462922487,5.56731119942046,1.74123646984807,1.34859495172727,1.13380635377434,0.115012434678679,-0.0282422219315217,0.0253483171429428,1e-04,0.5,50
25,"X.85",-81.1085318669367,5.45517646850134,1.85575089516008,1.26480641157674,1.12804409341184,0.112375208606191,-0.0340044822940235,0.0236474000188556,1e-04,0.5,50
0,NA,-104.930965592015,5.04863142786339,-21.9666828299186,5.27019395579797,1.95722999725543,0.190501888908419,0.79518142154957,0.177602724909185,0.5,0.5,50
1,"X.5",-87.5073513102925,4.68569162568004,-4.5430685481957,4.33887716823087,1.37330911671224,0.146371805211621,0.211260541006375,0.123452586691817,0.5,0.5,50
2,"X.1",-86.1722136241535,5.0610850679691,-3.20793086205672,3.36407814973012,1.34334158612349,0.140074271032504,0.181293010417631,0.096958861999505,0.5,0.5,50
3,"X.2",-81.9525979736761,4.23340283972539,1.01168478842067,2.66715917713611,1.22797034236221,0.116162093178882,0.0659217666563474,0.0731052864506042,0.5,0.5,50
4,"X.33",-83.2119557854986,4.29095676368334,-0.247673023401826,2.68477542398769,1.26193518394324,0.110589513440266,0.0998866082373799,0.0714683113133691,0.5,0.5,50
5,"X.4",-79.6101553955111,4.02102540785334,3.3541273665857,2.5211198402386,1.1648813497923,0.109471515658504,0.00283277408644378,0.0691989339598302,0.5,0.5,50
6,"X.9",-80.7799484926022,4.73762741961962,2.18433426949455,2.63885262596234,1.19944331065634,0.111974312880274,0.0373947349504804,0.0601577636327472,0.5,0.5,50
7,"X.7",-79.9194738602903,4.82838789564553,3.04480890180643,2.61002264835635,1.1812784214138,0.113627908068692,0.0192298457079394,0.0614288618391771,0.5,0.5,50
8,"X.29",-77.7842630912021,4.15283566206113,5.1800196708947,2.20626341175839,1.12052489617212,0.0987644770717568,-0.0415236795337455,0.0498546194188907,0.5,0.5,50
9,"X.24",-76.5671037205946,3.94555040225259,6.39717904150214,2.17799565768607,1.08802401602529,0.0938569928445055,-0.0740245596805682,0.0474780112282594,0.5,0.5,50
10,"X.6",-77.8356391126968,4.21759836333072,5.12864364939993,1.52498991042698,1.10582879270098,0.0954631950261845,-0.0562197830048812,0.0325614655825979,0.5,0.5,50
11,"X.93",-79.0947241449463,4.3235374285814,3.86955861715045,1.74782441563824,1.13489679421235,0.0943004715875303,-0.0271517814935121,0.0341286949654661,0.5,0.5,50
12,"X.81",-80.6249163458396,4.51054485841742,2.33936641625719,1.6727011099244,1.16449300787505,0.0944995261217626,0.00244443216919366,0.0323385727894872,0.5,0.5,50
13,"X.94",-80.8314052036001,4.74408494635811,2.13287755849664,1.51295181743001,1.1625617240322,0.0977999091278172,0.000513148326338975,0.026654707217405,0.5,0.5,50
14,"X.41",-81.1889108396245,5.02203095693368,1.77537192247227,1.35526889809733,1.16632445491044,0.1020593448718,0.00427587920458317,0.022209289286092,0.5,0.5,50
15,"X.38",-81.8882978406487,5.10965796361417,1.07598492144807,1.40056076261835,1.17543835595225,0.102740683285695,0.0133897802463916,0.0223745960030107,0.5,0.5,50
16,"X.68",-82.1129948926443,5.19630902531754,0.851287869452433,1.35620709969684,1.17656455747638,0.104130262129283,0.0145159817705229,0.0214391222244007,0.5,0.5,50
17,"X.31",-81.5940580873119,5.08297359981913,1.37022467478485,1.34027280477617,1.16137710424721,0.102650735599943,-0.000671471458651096,0.0208776952618717,0.5,0.5,50
18,"X.60",-81.7842351036732,5.40750597785199,1.18004765842354,1.33115371375339,1.16044280796221,0.108169054457621,-0.00160576774365229,0.0224725547690804,0.5,0.5,50
19,"X.10",-82.0209474970121,5.45427111737111,0.943335265084692,1.29806289361922,1.15930143989878,0.108131976923993,-0.0027471358070783,0.0190433638731183,0.5,0.5,50
20,"X.96",-82.008883240918,5.47697136826391,0.955399521178757,1.29412811875223,1.15610234623213,0.108628220953994,-0.00594622947373491,0.0204209813963825,0.5,0.5,50
21,"X.3",-81.9049752901942,5.49452607086004,1.0593074719026,1.3268505981997,1.15205495501894,0.109047646625392,-0.00999362068691889,0.0213344294651507,0.5,0.5,50
22,"X.37",-80.978951509355,5.5230989253815,1.98533125274178,1.33241397488385,1.13382251900565,0.110980883717137,-0.0282260567002068,0.0206145417334806,0.5,0.5,50
