"size","solution_terms","elpd","se","diff","diff.se","rho","n","run","diff_gam_fit","diff_se_gam_fit","diff_mono_fit","diff_se_mono_fit"
0,NA,-196.216161880842,7.29059457082664,-71.2045650087951,6.11694880678782,0,100,1,-72.7428986552554,1.6605247073793,-72.5817616587539,1.45106311191975
1,"X.2",-183.986915760085,6.48368882673481,-58.9753188880389,5.11768431701241,0,100,1,-57.2455914872676,1.38926146374424,-57.6881746224444,1.21401750536581
2,"X.4",-175.865662052314,6.00935021379328,-50.8540651802674,4.6734444695383,0,100,1,-49.0717303498626,1.26866682317531,-49.3509882303588,1.10863489127572
3,"X.5",-167.311735985504,5.93228286109824,-42.3001391134577,4.40900384243798,0,100,1,-43.5708068773259,1.19688100171352,-43.5605493596001,1.04590426340903
4,"X.7",-162.290151631262,5.69257476861328,-37.2785547592152,4.15907444527573,0,100,1,-39.0757142164366,1.12903444092037,-39.0139787447069,0.986615990732295
5,"X.14",-158.148308114849,5.19134029738467,-33.1367112428024,3.70285598636275,0,100,1,-33.5969081446055,1.00518805166387,-33.6694381910856,0.878391809426267
6,"X.12",-153.724301983941,4.52268731261467,-28.7127051118946,3.1425033094504,0,100,1,-27.9032709850142,0.853073084831623,-27.9926431216985,0.745464900142555
7,"X.3",-151.327214698259,4.30536456596718,-26.3156178262121,2.93500153421917,0,100,1,-25.5672976671699,0.796744049641042,-25.5566548772328,0.696241311519124
8,"X.55",-149.140279949432,4.28017406470958,-24.1286830773851,2.86026504068341,0,100,1,-24.1996584843821,0.776455863818511,-24.011241809364,0.678512314218439
9,"X.19",-146.964173334904,4.16489511065238,-21.9525764628572,2.7090222294657,0,100,1,-21.9065820496396,0.735399050565175,-21.6635697566472,0.642634481783823
10,"X.64",-145.926646111506,4.10264220065871,-20.9150492394598,2.7122362685973,0,100,1,-20.7292185927461,0.73627154297227,-20.5824263667745,0.643396916417731
11,"X.85",-144.457885659892,4.26110958736853,-19.4462887878454,2.87591354737749,0,100,1,-20.8179418808339,0.780703852941826,-20.8365369780469,0.682224454296383
12,"X.16",-142.735795692067,3.93021089704262,-17.7241988200201,2.48322966387454,0,100,1,-17.2881372205562,0.674104744245229,-17.400424519057,0.589071950328357
13,"X.9",-141.399991367686,3.82540130951802,-16.3883944956394,2.30549828089292,0,100,1,-15.7371152332451,0.625857266288542,-15.8070150392466,0.546910496665555
14,"X.88",-139.792327769734,3.74226672101676,-14.7807308976876,2.22824119079958,0,100,1,-15.0973128068948,0.604884831996162,-15.0803519382792,0.528583563236866
15,"X.70",-138.250318687145,3.50123499827678,-13.2387218150986,2.02256805723139,0,100,1,-13.624630246585,0.549052205187985,-13.5841935275029,0.479793765142992
16,"X.78",-137.04060912053,3.35686371098909,-12.0290122484831,1.8049444081707,0,100,1,-12.0212373598997,0.489975456699536,-12.0292299613476,0.428169064755941
17,"X.1",-136.221363247554,3.26870856702289,-11.2097663755079,1.68572358376011,0,100,1,-11.010988118048,0.457611425084915,-11.0737708018209,0.399887490732813
18,"X.66",-135.335746303363,3.18093162398208,-10.3241494313169,1.58864650029079,0,100,1,-10.0845587729875,0.431258597766456,-10.1457321916123,0.376858856803627
19,"X.10",-134.547969380037,3.10698241118233,-9.53637250799008,1.56934081161236,0,100,1,-9.57497074150969,0.426017819388854,-9.57422875945847,0.372279159706867
20,"X.57",-133.846195805285,3.06286046357845,-8.83459893323875,1.49033021128288,0,100,1,-8.637752686146,0.404569372109651,-8.59963022082114,0.353536258432048
21,"X.8",-132.651134094719,2.99796513395411,-7.63953722267263,1.46409959003063,0,100,1,-8.01211971860669,0.397448731402158,-8.00089811188449,0.347313828245999
22,"X.94",-132.111530945642,2.93268653268538,-7.09993407359545,1.38084235887776,0,100,1,-7.19328464568303,0.374847481373071,-7.25039807575768,0.327563540849045
23,"X.24",-131.771166868738,2.87459444182048,-6.75956999669144,1.34446062824075,0,100,1,-6.8324242953708,0.364971190998867,-6.91066267269918,0.318933063638482
24,"X.56",-131.488240994746,2.82122683735783,-6.47664412269926,1.22121362287151,0,100,1,-6.23608395935021,0.331514200595576,-6.22739653976283,0.289696398628727
25,"X.29",-130.884967480754,2.79031550229047,-5.87337060870706,1.13424279543439,0,100,1,-5.92557066724065,0.307904846922334,-5.77729876563663,0.269065171607976
0,NA,-195.095968609268,8.33700971676671,-48.5531757521752,5.87776835016733,0,100,2,-47.0620127648137,1.61104918416534,-47.5754723909062,1.73065622745232
1,"X.2",-187.210564404047,8.07001736030506,-40.667771546955,5.67705884472256,0,100,2,-43.7228449131851,1.55603631776141,-43.7234099630142,1.67155911187835
2,"X.3",-182.128778139695,7.44526930881673,-35.5859852826029,4.85515436473064,0,100,2,-35.5847703106827,1.33075888880062,-35.1418129693561,1.42955670179214
3,"X.4",-177.261613921614,6.49793501409215,-30.7188210645218,4.04004170077259,0,100,2,-27.7870116745856,1.1073430421664,-27.4073977900004,1.18955408108421
4,"X.5",-171.120579980497,6.45775414303499,-24.577787123405,3.9131183657171,0,100,2,-25.1373659307014,1.07255437354068,-25.1181889517326,1.15218264227673
5,"X.1",-165.47095252888,6.02774112866653,-18.9281596717872,3.32925107497857,0,100,2,-20.2581977502166,0.912521029868951,-20.5538975965199,0.980268149815732
6,"X.80",-164.040161469417,5.83587884615394,-17.4973686123246,3.08253955179383,0,100,2,-18.2789244070457,0.844899379189294,-18.5564877899616,0.907626152284176
7,"X.66",-162.852021623327,5.34663592172958,-16.3092287662346,2.67770789968014,0,100,2,-15.8568672695247,0.733938268780186,-15.8668405659582,0.788427099504147
8,"X.7",-161.479601990136,5.05212661099752,-14.9368091330439,2.41905536718439,0,100,2,-14.3713429580933,0.663043683176501,-14.1700864477209,0.71226917876926
9,"X.42",-160.326892643535,5.00709239470231,-13.7840997864421,2.37786882411364,0,100,2,-13.9459602243048,0.651754781903141,-13.7350262383669,0.700142170182643
10,"X.14",-158.840389246259,4.70458666475838,-12.2975963891665,2.12925312802408,0,100,2,-12.0172680268656,0.583611212695554,-12.0050059050361,0.626939506000147
11,"X.22",-157.824835382732,4.72503360541209,-11.2820425256391,2.09275893070299,0,100,2,-11.1237386027511,0.573608445774799,-11.3031294856686,0.616194116577336
12,"X.6",-156.85317402639,4.7635871802358,-10.3103811692977,2.14612126353177,0,100,2,-10.6450584754109,0.58823463341054,-10.8643199871383,0.63190617736634
13,"X.74",-155.608499384497,4.60661063695199,-9.06570652740476,1.99936757089783,0,100,2,-9.28549086880802,0.548010622747644,-9.37539126290345,0.588695867444664
14,"X.19",-154.775649699922,4.42237973845587,-8.2328568428292,1.86353233509942,0,100,2,-8.18436091443,0.510779273572798,-8.11782235424692,0.548700399311715
15,"X.79",-154.166602280939,4.37920619653302,-7.62380942384626,1.75220764254758,0,100,2,-7.3579499135358,0.480266067806875,-7.23805945902289,0.515921841029717
16,"X.69",-152.415629461633,3.91013557483255,-5.87283660454083,1.4896390556317,0,100,2,-6.04914030866521,0.40829812308067,-5.97868022513562,0.438610873157634
17,"X.21",-152.083867769866,3.9275182500347,-5.5410749127731,1.40590509118368,0,100,2,-5.59166649268239,0.385347314699956,-5.57625776066702,0.413956157560155
18,"X.17",-151.683581880218,3.83361458985289,-5.14078902312534,1.31217438185583,0,100,2,-5.17183505298138,0.359656478689112,-5.1842745982767,0.386357990001008
19,"X.99",-151.445571290521,3.71398783062925,-4.90277843342867,1.23698353823683,0,100,2,-4.85372147122709,0.339047271239547,-4.86484064236252,0.364218719787525
20,"X.90",-151.091430247301,3.6350655597156,-4.54863739020906,1.17743293177741,0,100,2,-4.56853418621846,0.322724927411506,-4.57758135937607,0.346684577273278
21,"X.36",-151.025522170708,3.61632832457041,-4.48272931361554,1.14688923818926,0,100,2,-4.33123155374823,0.314353145860235,-4.3502070171497,0.337691260359689
22,"X.55",-150.582515006882,3.64005601841587,-4.03972214978968,1.12120835086018,0,100,2,-4.04833827233296,0.307314220520659,-4.06784269160468,0.330129753179621
23,"X.44",-150.12114875589,3.61722642062495,-3.57835589879799,1.05809793536849,0,100,2,-3.60520449421872,0.290016161574982,-3.6051297550803,0.311547456790772
24,"X.34",-149.793123569694,3.65316788862731,-3.25033071260158,1.04822746967051,0,100,2,-3.34822336551813,0.287310746056247,-3.32662617142112,0.30864118660277
25,"X.52",-149.605947912498,3.63968046977574,-3.06315505540532,1.00964178232168,0,100,2,-3.01232441514066,0.276734718485848,-3.00004259109823,0.297279976680491
0,NA,-191.475484030867,6.63012537635796,-57.6719484249592,4.71585540772821,0,100,3,-55.8978835974876,2.4024221696466,-58.4061257549567,2.07843503931085
1,"X.4",-181.82806115423,6.77837048039566,-48.0245255483222,4.62470314120191,0,100,3,-46.802645695847,2.35598600759689,-45.0907607616472,2.03826118997052
2,"X.5",-171.660661053275,7.23593668265842,-37.8571254473669,4.98796748001542,0,100,3,-43.7544619041684,2.54104560454242,-42.4816053886113,2.19836392108581
3,"X.9",-165.79617477231,6.59422487889433,-31.9926391664025,4.21214728944343,0,100,3,-33.8818928625192,2.14581558488677,-34.1701611775722,1.85643404222499
4,"X.1",-161.35671462485,5.43970634265247,-27.5531790189418,3.08417006662719,0,100,3,-24.200922970821,1.57118441987919,-24.5827932137569,1.35929679335942
5,"X.2",-157.585926644703,5.13151426230382,-23.782391038795,2.83215685690096,0,100,3,-22.1999363635652,1.44280005060911,-22.0178695649437,1.24822615183682
6,"X.57",-154.661238290752,5.30617564164632,-20.8577026848441,2.94528063089072,0,100,3,-22.6150830537923,1.50042926928739,-22.1030485823032,1.29808357860485
7,"X.8",-152.161278838941,5.02186468116441,-18.3577432330336,2.68680441414839,0,100,3,-19.4636738778702,1.36875241753096,-19.239848453808,1.18416447395516
8,"X.6",-150.544036915224,4.78555368853552,-16.7405013093164,2.43961693843535,0,100,3,-16.2356734399603,1.24282644644652,-16.4649965725394,1.07522069464445
9,"X.10",-149.66845312041,4.93828592619513,-15.864917514502,2.47960266378974,0,100,3,-15.1766648529118,1.26319657757976,-15.6601433235908,1.09284373976848
10,"X.7",-148.155599976268,4.96971256482451,-14.3520643703599,2.43160425922809,0,100,3,-14.0197973861074,1.23874450658589,-14.4016994652342,1.07168923920672
11,"X.14",-146.897694605461,5.07770367371243,-13.0941589995533,2.45386764048476,0,100,3,-13.6685422760402,1.25008625396319,-13.8205358623362,1.08150145516686
12,"X.11",-145.336428935086,4.66318118180971,-11.5328933291785,2.15054969356115,0,100,3,-11.7071032286824,1.09556545187354,-11.7648441035307,0.947819101822282
13,"X.60",-144.566158303426,4.642787847084,-10.7626226975183,2.1018549378122,0,100,3,-11.2154884059018,1.07075863515793,-11.3568248313655,0.92635769602654
14,"X.82",-144.201174828206,4.5565753962992,-10.3976392222979,1.91104819237688,0,100,3,-10.0801460519931,0.97355498582621,-10.2982753314497,0.842262788281972
15,"X.77",-143.634322409308,4.40122360735335,-9.83078680340015,1.77825416012589,0,100,3,-9.44064703207869,0.905905047587278,-9.58112934423097,0.783736021496559
