"size","solution_terms","elpd","se","diff","diff.se","ref.loo.elpd","spline.elpd","spline.elpd.se","mono.spline.elpd","mono.spline.elpd.se","spline.elpd.diff","spline.elpd.diff.se","mono.spline.elpd.diff","mono.spline.elpd.diff.se","n","rho","run"
0,NA,-204.880881292415,7.89884890370068,-67.6829220226057,6.40919691633113,-136.419122633715,-211.577878431845,3.25417479389907,-390.949220419342,63.6846916912182,-70.8372276622489,1.21437401923286,-70.7682894777058,1.13705265062678,100,0,1
1,"X.3",-192.917771755314,6.56191643208114,-55.7198124855041,5.03251917268679,-136.419122633715,-185.611279221684,2.70338416562775,-324.778476567274,52.9056359952447,-52.1091502203778,0.95352984381395,-52.7809506282634,0.892816890998137,100,0,1
2,"X.4",-183.822214024242,6.12737372641291,-46.624254754433,4.60717970749831,-136.419122633715,-181.832215150951,2.52436087541192,-303.271022241833,49.4021231955274,-44.5519551386227,0.872939217153198,-45.1755673231199,0.817357613865241,100,0,1
3,"X.1",-172.30973504897,5.66103469276741,-35.1117757791603,3.99414021844131,-136.419122633715,-174.577804980837,2.33223810572715,-280.189825996972,45.6422516062151,-36.013419779667,0.756784379348533,-36.2251662221287,0.708598562603298,100,0,1
4,"X.2",-166.62610045816,5.34663871566667,-29.4281411883505,3.67266805954744,-136.419122633715,-169.525534055896,2.20271297156423,-264.62896850381,43.1074251885027,-30.8910363032802,0.695873871719617,-30.6877846119993,0.651566336078694,100,0,1
5,"X.10",-163.299136271548,5.03359667375027,-26.1011770017384,3.37258284364338,-136.419122633715,-162.573019920377,2.07374563282228,-249.135123294496,40.5835149113361,-26.5317048711402,0.639015626528051,-26.0965101541523,0.598328357184928,100,0,1
6,"X.8",-160.406061065438,4.84153705232711,-23.2081017956287,3.15190715933338,-136.419122633715,-158.389211957286,1.99462073923579,-239.629237033747,39.0350288058562,-23.2976476977318,0.597203396197032,-22.8432414448215,0.559178386439888,100,0,1
7,"X.65",-158.272769708581,4.81947959641774,-21.0748104387712,3.10760610044564,-136.419122633715,-159.611778068269,1.98553348893984,-238.537515278168,38.8571899465228,-21.7139760771171,0.588809512276772,-21.3436359365209,0.551318956141293,100,0,1
8,"X.12",-156.592633154631,4.54553675100863,-19.3946738848214,2.77186800587938,-136.419122633715,-153.05428338937,1.87267427193651,-224.978863484997,36.6485180420988,-18.4393887957863,0.525195985554082,-18.2423704089302,0.491755816589407,100,0,1
9,"X.22",-155.033249345989,4.52686481985319,-17.8352900761796,2.76555951342983,-136.419122633715,-156.123288834008,1.86498179313862,-224.054706431489,36.497975071419,-17.6512481449147,0.524000692379091,-17.6104332995532,0.490636629871497,100,0,1
10,"X.50",-152.858790377073,4.38593768148596,-15.6608311072632,2.60666673014474,-136.419122633715,-156.121174264753,1.80692250538137,-217.079594544644,35.361746050297,-16.0913418273495,0.493894694641163,-16.1877136091271,0.462447534925856,100,0,1
11,"X.55",-151.710476126699,4.13591545271692,-14.5125168568899,2.37627533603598,-136.419122633715,-152.729713609485,1.70391812528828,-204.704880631714,33.345934791058,-14.3031864965848,0.450241593181975,-14.4889299380343,0.421573904614162,100,0,1
12,"X.11",-149.983227186528,3.93700552658979,-12.7852679167187,2.24265990964691,-136.419122633715,-150.968047839565,1.62197103707952,-194.859942274096,31.7422179110206,-13.2655177908651,0.424924988856376,-13.5020727460619,0.397869253825044,100,0,1
13,"X.32",-149.330506721932,3.7189173749428,-12.1325474521222,2.02689236430426,-136.419122633715,-147.591130293642,1.53212288647049,-184.065788099411,29.9838760477348,-11.8664961933756,0.38404272159601,-12.1025678598433,0.359590033736494,100,0,1
